ID,SrcIP,DstIP,SrcPort,DstPort,IPVersion,Protocol,PS,IPI,FlowSizeBytes,FlowSizePackets,FS,FS(PKT),NumFrames,IFI,Direction
1,200.18.102.39,200.18.102.102,48170,5000,IP,UDP,1115.5153952205883,0.0005798668677294,38837784,34816,1274.1219080112853,1.1421822715044945,30482,0.0006623163610117,Uplink
2,2801:b0:b0:116:f1a2:45bb:19b:adb8,2800:3f0:4001:834::200e,50096,443,IPv6,UDP,201.7783171521036,1.5530595202593191,124699,618,229.2261029411765,1.1360294117647058,544,1.7647103572744014,Uplink
3,2800:3f0:4001:834::200e,2801:b0:b0:116:f1a2:45bb:19b:adb8,443,50096,IPv6,UDP,211.5949535192563,1.2742449295212763,159331,753,235.6967455621302,1.113905325443787,676,1.41960324,Downlink
4,2606:4700:7::a29f:8256,2801:b0:b0:116:f1a2:45bb:19b:adb8,443,55254,IPv6,TCP,108.93565683646112,2.560206260752688,40633,373,149.93726937269372,1.3763837638376384,271,3.527395292592592,Uplink
5,2801:b0:b0:116:f1a2:45bb:19b:adb8,2606:4700:7::a29f:8256,55254,443,IPv6,TCP,111.46610169491524,4.052667434042553,26306,236,411.03125,3.6875,64,14.95843092063492,Downlink
6,200.18.102.102,172.64.150.28,65436,443,IP,UDP,823.619812583668,0.3207958624037495,2460976,2988,1689.0706932052162,2.050789293067948,1457,0.6581019869505494,Uplink
7,172.64.150.28,200.18.102.102,443,65436,IP,UDP,423.690977443609,0.3603606641594584,1127018,2660,479.37813696299446,1.13143343258188,2351,0.4077442578723404,Downlink
12,2801:b0:b0:116:f1a2:45bb:19b:adb8,2800:3f0:4001:831::2003,56004,443,IPv6,UDP,125.0926640926641,3.6619465503875968,32399,259,126.06614785992218,1.0077821011673151,257,3.6905555078125,Uplink
13,2800:3f0:4001:831::2003,2801:b0:b0:116:f1a2:45bb:19b:adb8,443,56004,IPv6,UDP,177.1573033707865,3.5517654511278196,47301,267,184.76953125,1.04296875,256,3.7049788627450977,Downlink
14,2801:b0:b0:116:f1a2:45bb:19b:adb8,2600:1419:4e00:a::58dd:ed,58475,443,IPv6,TCP,195.28571428571428,10.53690665,4101,21,315.46153846153845,1.6153846153846154,13,0.0730986666666666,Uplink
15,2801:b0:b0:116:f1a2:45bb:19b:adb8,2600:1419:4e00:a::58dd:ed,58476,443,IPv6,TCP,99.5,13.582893117647059,1791,18,223.875,2.25,8,2.9124267142857145,Uplink
16,2801:b0:b0:116:f1a2:45bb:19b:adb8,2600:1419:4e00:a::58dd:ed,58477,443,IPv6,TCP,101.0,14.3804385,1717,17,214.625,2.125,8,2.9182994285714283,Uplink
17,2801:b0:b0:116:f1a2:45bb:19b:adb8,2600:1419:4e00:a::58dd:e7,58478,443,IPv6,TCP,222.88888888888889,12.387148294117647,4012,18,308.61538461538464,1.3846153846153846,13,0.059413,Uplink
18,2600:1419:4e00:a::58dd:ed,2801:b0:b0:116:f1a2:45bb:19b:adb8,443,58475,IPv6,TCP,607.375,6.7982380967741936,19436,32,845.0434782608696,1.391304347826087,23,5.488027545454545,Downlink
19,2600:1419:4e00:a::58dd:ed,2801:b0:b0:116:f1a2:45bb:19b:adb8,443,58476,IPv6,TCP,406.61538461538464,1.6836880833333332,5286,13,528.6,1.3,10,2.2449174444444444,Downlink
20,2600:1419:4e00:a::58dd:ed,2801:b0:b0:116:f1a2:45bb:19b:adb8,443,58477,IPv6,TCP,406.6923076923077,1.6872051666666665,5287,13,480.6363636363636,1.181818181818182,11,2.0246462,Downlink
21,2801:b0:b0:116:f1a2:45bb:19b:adb8,2600:1419:4e00:a::58dd:ed,58479,443,IPv6,TCP,101.0,14.3606294375,1717,17,214.625,2.125,8,2.9172957142857143,Uplink
22,2600:1419:4e00:a::58dd:e7,2801:b0:b0:116:f1a2:45bb:19b:adb8,443,58478,IPv6,TCP,326.40909090909093,10.027423952380952,7181,22,448.8125,1.375,16,8.058406666666665,Downlink
23,2600:1419:4e00:a::58dd:ed,2801:b0:b0:116:f1a2:45bb:19b:adb8,443,58479,IPv6,TCP,406.7692307692308,1.6864465833333333,5288,13,480.7272727272728,1.181818181818182,11,2.0237359,Downlink
