ID,SrcIP,DstIP,SrcPort,DstPort,IPVersion,Protocol,PS,IPI,FlowSizeBytes,FlowSizePackets,FS,FS(PKT),NumFrames,IFI
1,200.18.102.39,200.18.102.102,43720,5000,IP,UDP,1316.678567524432,0.0003351429445974900520355065810,60223561,45739,4364.02615942029,3.3144202898550725,13800,0.001110860787013551706645409088
2,172.64.150.28,200.18.102.102,443,65436,IP,UDP,432.02666666666664,0.3639360923159018143009605123,810050,1875,489.7521160822249,1.1336154776299878,1654,0.4125930048396854204476709014
3,200.18.102.102,172.64.150.28,65436,443,IP,UDP,827.6754468485418,0.3209491534117647058823529412,1759638,2126,1688.7120921305182,2.0403071017274472,1042,0.6551287031700288184438040346
4,200.18.102.102,20.185.212.106,59104,443,IP,TCP,650.65,14.40900078947368421052631579,13013,20,867.5333333333333,1.3333333333333333,15,16.33130857142857142857142857
5,20.185.212.106,200.18.102.102,443,59104,IP,TCP,135.0,25.780213,1755,13,250.71428571428572,1.8571428571428572,7,38.1055195
6,200.18.102.102,239.255.255.250,55584,1900,IP,UDP,218.0,1.003219,872,4,872.0,4.0,1,0
7,200.18.102.102,239.255.255.250,55587,1900,IP,UDP,216.0,1.007851,864,4,864.0,4.0,1,0
8,2800:3f0:4001:808::200a,2801:b0:b0:116:f1a2:45bb:19b:adb8,443,49303,IPv6,UDP,158.69473684210527,4.474596404255319148936170213,15076,95,206.5205479452055,1.3013698630136987,73,5.841834194444444444444444444
9,2801:b0:b0:116:f1a2:45bb:19b:adb8,2800:3f0:4001:808::200a,49303,443,IPv6,UDP,161.10843373493975,5.129409987804878048780487805,13372,83,252.30188679245282,1.5660377358490567,53,7.868326211538461538461538462
10,2801:b0:b0:116:f1a2:45bb:19b:adb8,2800:3f0:4001:831::2003,64271,443,IPv6,UDP,121.42541436464089,3.759675511111111111111111111,21978,181,121.42541436464089,1.0,181,3.759675511111111111111111111
11,2800:3f0:4001:831::2003,2801:b0:b0:116:f1a2:45bb:19b:adb8,443,64271,IPv6,UDP,119.96132596685082,3.759612172222222222222222222,21713,181,119.96132596685082,1.0,181,3.759612172222222222222222222
12,200.18.102.102,200.18.102.1,59082,53,IP,UDP,75.0,0,75,1,75.0,1.0,1,0
13,200.18.102.102,200.18.102.1,55749,53,IP,UDP,75.0,0,75,1,75.0,1.0,1,0
14,200.18.102.102,200.18.102.1,65456,53,IP,UDP,75.0,0,75,1,75.0,1.0,1,0
15,200.18.102.1,200.18.102.102,53,59082,IP,UDP,103.0,0,103,1,103.0,1.0,1,0
16,200.18.102.1,200.18.102.102,53,55749,IP,UDP,91.0,0,91,1,91.0,1.0,1,0
17,2801:b0:b0:116:f1a2:45bb:19b:adb8,2800:3f0:4001:809::200e,59149,443,IPv6,UDP,779.1931818181819,0.2044489655172413793103448276,68569,88,1202.9649122807018,1.543859649122807,57,0.3176260714285714285714285714
18,200.18.102.1,200.18.102.102,53,65456,IP,UDP,125.0,0,125,1,125.0,1.0,1,0
19,2800:3f0:4001:809::200e,2801:b0:b0:116:f1a2:45bb:19b:adb8,443,59149,IPv6,UDP,272.7945205479452,0.2466145694444444444444444444,19914,73,326.4590163934426,1.1967213114754098,61,0.2959374833333333333333333333
20,2801:b0:b0:116:f1a2:45bb:19b:adb8,2600:1901:0:4d00::,55357,443,IPv6,TCP,89.6086956521739,30.00030745454545454545454545,2061,23,89.6086956521739,1.0,23,30.00030745454545454545454545
21,2801:b0:b0:116:f1a2:45bb:19b:adb8,2800:3f0:4001:834::200e,50096,443,IPv6,UDP,186.52777777777777,1.373986818181818181818181818,26860,144,205.0381679389313,1.099236641221374,131,1.471005423076923076923076923
22,2600:1901:0:4d00::,2801:b0:b0:116:f1a2:45bb:19b:adb8,443,55357,IPv6,TCP,79.73913043478261,30.00024504545454545454545455,1834,23,1834.0,23.0,1,0
23,2800:3f0:4001:834::200e,2801:b0:b0:116:f1a2:45bb:19b:adb8,443,50096,IPv6,UDP,196.14525139664804,1.103725286516853932584269663,35110,179,208.98809523809524,1.0654761904761905,168,1.176425754491017964071856287
24,200.18.102.102,162.247.241.14,57499,443,IP,TCP,295.2931034482759,11.85102628070175438596491228,17127,58,489.34285714285716,1.6571428571428573,35,19.41888558823529411764705882
25,200.18.102.102,162.247.243.29,59095,443,IP,TCP,446.37142857142857,19.41857552941176470588235294,15623,35,446.37142857142857,1.0,35,19.41857552941176470588235294
26,2801:b0:b0:116:f1a2:45bb:19b:adb8,2606:4700:7::a29f:8256,55254,443,IPv6,TCP,109.6024844720497,4.2020503375,17646,161,464.36842105263156,4.2368421052631575,38,17.84462551351351351351351351
27,162.247.241.14,200.18.102.102,443,57499,IP,TCP,148.20689655172413,11.85014312280701754385964912,8596,58,343.84,2.32,25,28.14408991666666666666666667
28,2606:4700:7::a29f:8256,2801:b0:b0:116:f1a2:45bb:19b:adb8,443,55254,IPv6,TCP,100.98814229249012,2.667923924603174603174603175,25550,253,138.1081081081081,1.3675675675675676,185,3.653863744565217391304347826
29,162.247.243.29,200.18.102.102,443,59095,IP,TCP,192.17142857142858,19.41565041176470588235294118,6726,35,280.25,1.4583333333333333,24,28.70139626086956521739130435
30,2801:b0:b0:116:f1a2:45bb:19b:adb8,2600:1901:0:47fc::,58836,443,IPv6,UDP,975.5555555555555,0.01826976470588235294117647059,17560,18,2195.0,2.25,8,0.04436942857142857142857142857
31,2801:b0:b0:116:f1a2:45bb:19b:adb8,2600:1901:0:47fc::,58045,443,IPv6,TCP,120.77272727272727,8.376380255813953488372093023,5314,44,126.52380952380952,1.0476190476190477,42,8.784526
32,2600:1901:0:47fc::,2801:b0:b0:116:f1a2:45bb:19b:adb8,443,58045,IPv6,TCP,95.66666666666667,8.185658295454545454545454545,4305,45,187.17391304347825,1.9565217391304348,23,16.37131659090909090909090909
33,2600:1901:0:47fc::,2801:b0:b0:116:f1a2:45bb:19b:adb8,443,58836,IPv6,UDP,306.64285714285717,0.02390915384615384615384615385,4293,14,536.625,1.75,8,0.04440271428571428571428571429
34,54.160.41.208,200.18.102.102,443,59147,IP,TCP,72.5,0.000000,145,2,72.5,1.0,2,0.000000
35,200.18.102.102,54.160.41.208,59147,443,IP,TCP,54.0,40.032802,108,2,108.0,2.0,1,0
36,200.18.102.102,20.185.212.106,56277,443,IP,TCP,969.8333333333334,18.56404048275862068965517241,29095,30,1322.5,1.3636363636363635,22,25.63598538095238095238095238
37,20.185.212.106,200.18.102.102,443,56277,IP,TCP,198.24,22.43269575,4956,25,291.52941176470586,1.4705882352941178,17,33.649043625
38,200.18.102.102,177.54.145.72,55175,443,IP,TCP,54.91891891891892,9.196820191780821917808219178,4064,74,312.61538461538464,5.6923076923076925,13,45.92982308333333333333333333
39,177.54.145.72,200.18.102.102,443,55175,IP,TCP,65.51351351351352,9.196734547945205479452054795,4848,74,4848.0,74.0,1,0
40,54.77.146.221,200.18.102.102,80,55170,IP,TCP,84.2,63.00377422222222222222222222,842,10,168.4,2.0,5,74.2392055
41,200.18.102.102,54.77.146.221,55170,80,IP,TCP,81.3,63.00377444444444444444444444,813,10,135.5,1.6666666666666667,6,113.406794
42,fe80::7450:3455:1959:52a4,ff02::c,62280,3702,IPv6,UDP,714.0,47.41523353846153846153846154,9996,14,9996.0,14.0,1,0
43,200.18.102.102,239.255.255.250,62279,3702,IP,UDP,694.0,47.38531507692307692307692308,9716,14,9716.0,14.0,1,0
44,162.159.134.234,200.18.102.102,443,59106,IP,TCP,78.33333333333333,3.2706748,470,6,117.5,1.5,4,5.446264666666666666666666667
45,200.18.102.102,162.159.134.234,59106,443,IP,TCP,61.5,5.431291333333333333333333333,246,4,82.0,1.3333333333333333,3,8.146937
46,200.18.102.102,200.18.102.1,54525,53,IP,UDP,75.0,0,75,1,75.0,1.0,1,0
47,200.18.102.102,200.18.102.1,57783,53,IP,UDP,76.0,650.988272,152,2,76.0,1.0,2,650.988272
48,200.18.102.102,200.18.102.1,59506,53,IP,UDP,75.0,0,75,1,75.0,1.0,1,0
49,200.18.102.1,200.18.102.102,53,54525,IP,UDP,103.0,0,103,1,103.0,1.0,1,0
50,200.18.102.1,200.18.102.102,53,57783,IP,UDP,114.0,651.017424,228,2,114.0,1.0,2,651.017424
51,2801:b0:b0:116:f1a2:45bb:19b:adb8,2800:3f0:4001:81e::200e,58400,443,IPv6,UDP,410.1666666666667,0.02062527272727272727272727273,4922,12,447.45454545454544,1.0909090909090908,11,0.0226878
52,2800:3f0:4001:81e::200e,2801:b0:b0:116:f1a2:45bb:19b:adb8,443,58400,IPv6,UDP,552.7692307692307,0.01424116666666666666666666667,7186,13,653.2727272727273,1.1818181818181819,11,0.0170894
53,200.18.102.1,200.18.102.102,53,59506,IP,UDP,125.0,0,125,1,125.0,1.0,1,0
54,200.18.102.39,200.18.102.102,49500,5000,IP,UDP,1315.6130107244562,0.0003367474349652609468411698174,65139947,49513,4337.458183513118,3.2969103742176054,15018,0.001110277618698808017580075914
55,2801:b0:b0:116:f1a2:45bb:19b:adb8,2800:3f0:4003:c01::bc,55248,5228,IPv6,TCP,75.0,45.07239178571428571428571429,1125,15,1125.0,15.0,1,0
56,2800:3f0:4003:c01::bc,2801:b0:b0:116:f1a2:45bb:19b:adb8,5228,55248,IPv6,TCP,86.0,45.07267814285714285714285714,1290,15,1290.0,15.0,1,0
57,200.18.102.102,200.18.102.1,64459,53,IP,UDP,89.0,0,89,1,89.0,1.0,1,0
58,200.18.102.102,200.18.102.1,58626,53,IP,UDP,89.0,0,89,1,89.0,1.0,1,0
59,200.18.102.102,200.18.102.1,49449,53,IP,UDP,89.0,0,89,1,89.0,1.0,1,0
60,200.18.102.1,200.18.102.102,53,64459,IP,UDP,165.0,0,165,1,165.0,1.0,1,0
61,200.18.102.1,200.18.102.102,53,58626,IP,UDP,169.0,0,169,1,169.0,1.0,1,0
62,200.18.102.1,200.18.102.102,53,49449,IP,UDP,135.0,0,135,1,135.0,1.0,1,0
63,200.18.102.102,162.159.134.234,59182,443,IP,TCP,134.55555555555554,7.579298461538461538461538462,3633,27,165.13636363636363,1.2272727272727273,22,9.383886380952380952380952381
64,162.159.134.234,200.18.102.102,443,59182,IP,TCP,164.26666666666668,6.795156448275862068965517241,4928,30,197.12,1.2,25,8.210292041666666666666666667
65,200.18.102.39,200.18.102.102,35566,5000,IP,UDP,1316.2020664742802,0.0003366332943170810461737164998,65221761,49553,4340.8825956738765,3.298036605657238,15025,0.001110280417997870074547390841
66,200.18.102.102,200.18.102.1,64624,53,IP,UDP,71.0,0,71,1,71.0,1.0,1,0
67,200.18.102.102,200.18.102.1,61669,53,IP,UDP,71.0,0,71,1,71.0,1.0,1,0
68,200.18.102.102,200.18.102.1,58955,53,IP,UDP,71.0,0,71,1,71.0,1.0,1,0
69,200.18.102.1,200.18.102.102,53,61669,IP,UDP,151.0,0,151,1,151.0,1.0,1,0
