ID,SrcIP,DstIP,SrcPort,DstPort,IPVersion,Protocol,PS,IPI,FlowSizeBytes,FlowSizePackets,FS,FS(PKT),NumFrames,IFI
1,13.104.104.132,10.0.0.20,1036,51089,IP,UDP,1101.4138528556664,0.0008693038007879773091898167600,1140304776,1035310,5097.701175734275,4.628324913943404,223690,0.004023434181372351791996924301
2,10.0.0.20,13.104.104.132,51089,1036,IP,UDP,139.48893941466082,0.007692770849885888658101905275,16319090,116992,191.03412350014634,1.3695288264559555,85425,0.01053514711268495973028657052
3,20.189.173.3,10.0.0.20,443,11083,IP,TCP,69.63848039215686,1.090325474971779141104294479,56825,816,224.60474308300394,3.225296442687747,253,3.526251040087301587301587302
4,10.0.0.20,20.189.173.3,11083,443,IP,TCP,1326.3146394756009,0.3236136262663023679417122040,3642060,2746,6000.0988467874795,4.523887973640857,607,1.465873604127062706270627063
5,10.0.0.20,34.196.233.7,11099,443,IP,TCP,252.6348784194529,0.3401059338301026225769669327,664935,2632,253.01940639269407,1.0015220700152208,2628,0.3404816059843928435477731252
6,34.196.233.7,10.0.0.20,443,11099,IP,TCP,209.6704416761042,0.5068758591779036827195467422,370278,1766,210.98461538461538,1.0062678062678063,1755,0.5100546701533637400228050171
7,10.0.0.31,10.0.0.20,22,10939,IP,TCP,98.00507936507937,0.5710528230628970775095298602,154358,1575,22051.14285714286,225.0,7,146.4050421263333333333333333
8,2804:38a:a220:2c3:8424:42e8:ac80:1745,2800:3f0:4004:805::200e,58200,443,IPv6,UDP,105.25540275049116,1.701023060151574803149606299,53575,509,435.5691056910569,4.138211382113822,123,7.082948479975409836065573770
9,2800:3f0:4004:805::200e,2804:38a:a220:2c3:8424:42e8:ac80:1745,443,58200,IPv6,UDP,115.87907869481766,1.661747718298076923076923077,60373,521,434.33812949640287,3.7482014388489207,139,6.261658068949275362318840580
10,199.46.35.125,10.0.0.20,443,11042,IP,TCP,156.24,8.982700230414141414141414141,15624,100,538.7586206896551,3.4482758620689653,29,31.76026152896428571428571429
11,10.0.0.20,199.46.35.125,11042,443,IP,TCP,54.0,9.074795405663265306122448980,5346,99,5346.0,99.0,1,0
12,2603:1050:4:3e::af8:fce,2804:38a:a220:2c3:8424:42e8:ac80:1745,9002,51090,IPv6,UDP,158.0,25.07708268196969696969696970,5372,34,5372.0,34.0,1,0
