,ID,downlink deq_qdepth,downlink deq_timedelta,downlink enq_qdepth,time,uplink deq_qdepth,uplink deq_timedelta,uplink enq_qdepth
0,Ex35,0,56,0,2024-03-01 17:18:34.642577476,0,70,0
1,Ex35,0,70,0,2024-03-01 17:18:34.918219308,0,49,0
2,Ex35,0,66,0,2024-03-01 17:18:35.908271797,0,67,0
3,Ex35,0,38,0,2024-03-01 17:18:36.912343536,0,44,0
4,Ex35,0,27,0,2024-03-01 17:18:37.921614493,0,40,0
5,Ex35,0,24,0,2024-03-01 17:18:38.941822781,0,21,0
6,Ex35,0,314,0,2024-03-01 17:18:39.941878398,0,336,0
7,Ex35,0,22,0,2024-03-01 17:18:40.936885499,0,22,0
8,Ex35,0,51,0,2024-03-01 17:18:42.376992238,0,44,0
9,Ex35,0,53,0,2024-03-01 17:18:43.656859028,16,6650,13
10,Ex35,0,54,0,2024-03-01 17:18:44.690564574,0,49,0
11,Ex35,0,46,0,2024-03-01 17:18:45.659147649,0,78,0
12,Ex35,0,50,0,2024-03-01 17:18:46.666963983,0,45,0
13,Ex35,0,46,0,2024-03-01 17:18:47.691349538,0,173,0
14,Ex35,0,35,0,2024-03-01 17:18:48.721791465,0,52,0
15,Ex35,0,50,0,2024-03-01 17:18:49.781614697,0,48,0
16,Ex35,0,73,0,2024-03-01 17:18:50.761408231,0,49,0
17,Ex35,0,45,0,2024-03-01 17:18:51.749838372,0,63,0
18,Ex35,0,44,0,2024-03-01 17:18:52.776952489,0,296,0
19,Ex35,0,72,0,2024-03-01 17:18:53.783333606,0,49,0
20,Ex35,0,71,0,2024-03-01 17:18:54.782086562,0,48,0
21,Ex35,0,74,0,2024-03-01 17:18:55.792311806,0,45,0
22,Ex35,0,46,0,2024-03-01 17:18:56.817263234,0,62,0
23,Ex35,0,74,0,2024-03-01 17:18:57.827269543,0,71,0
24,Ex35,0,53,0,2024-03-01 17:18:58.841990583,0,70,0
25,Ex35,0,50,0,2024-03-01 17:18:59.852123276,0,52,0
26,Ex35,0,72,0,2024-03-01 17:19:00.868393057,0,71,0
27,Ex35,0,63,0,2024-03-01 17:19:01.878475801,0,66,0
28,Ex35,0,65,0,2024-03-01 17:19:02.887560351,0,60,0
29,Ex35,0,193,0,2024-03-01 17:19:03.902660342,0,74,0
30,Ex35,0,45,0,2024-03-01 17:19:04.917016029,0,43,0
31,Ex35,0,45,0,2024-03-01 17:19:05.927403167,0,43,0
32,Ex35,0,50,0,2024-03-01 17:19:06.947034708,0,75,0
33,Ex35,0,55,0,2024-03-01 17:19:07.961637852,0,77,0
34,Ex35,0,49,0,2024-03-01 17:19:08.995837634,0,76,0
35,Ex35,0,73,0,2024-03-01 17:19:09.996950957,0,45,0
36,Ex35,0,46,0,2024-03-01 17:19:10.998115528,0,40,0
37,Ex35,0,72,0,2024-03-01 17:19:12.014176844,0,44,0
38,Ex35,0,38,0,2024-03-01 17:19:13.027528768,0,44,0
39,Ex35,0,72,0,2024-03-01 17:19:14.037408500,0,72,0
