ID,SrcIP,DstIP,SrcPort,DstPort,IPVersion,Protocol,PS,IPI,FlowSizeBytes,FlowSizePackets,FS,FS(PKT),NumFrames,IFI
1,13.104.103.38,10.0.0.137,1033,55086,IP,UDP,1074.2694339307984,0.001088006998531712295368730547,592635773,551664,3923.6228954668536,3.6523638963738803,151043,0.003973816585704638444935845659
2,13.104.107.160,10.0.0.20,1066,50440,IP,UDP,1006.5565510276967,0.001847892499588981628864265416,326933594,324804,2466.808975877706,2.450740570273064,132533,0.004528725345214740590951619232
3,10.0.0.137,13.104.103.38,55086,1033,IP,UDP,134.51667897262803,0.007913637681196682620676924700,10202283,75844,203.0426294107111,1.5094234481660596,50247,0.01194511050939378258965887832
4,10.0.0.20,13.104.107.160,50440,1066,IP,UDP,132.2776667406914,0.01110731782126399555843434811,7147756,54036,210.4509480626546,1.5909786833117419,33964,0.01767169915708270765244530813
5,10.0.0.31,10.0.0.20,22,11854,IP,TCP,98.20503261882573,0.5590612438703358208955223881,105374,1073,9579.454545454546,97.54545454545455,11,49.9171027981
6,2804:38a:a220:2c3:8449:22f5:cf0c:e464,2600:1419:6200:784::71e,13497,443,IPv6,TCP,74.0,0.042912966,148,2,148.0,2.0,1,0
7,10.0.0.20,20.241.33.111,13333,443,IP,TCP,528.5,15.00639986135897435897435897,21140,40,528.5,1.0,40,15.00639986135897435897435897
8,2600:1419:6200:784::71e,2804:38a:a220:2c3:8449:22f5:cf0c:e464,443,13497,IPv6,TCP,86.0,0.000041518,172,2,86.0,1.0,2,0.000041518
9,20.241.33.111,10.0.0.20,443,13333,IP,TCP,187.14285714285714,17.213382247,6550,35,311.9047619047619,1.6666666666666667,21,29.2627498199
10,199.46.35.128,10.0.0.137,443,52559,IP,TCP,426.1720430107527,6.452359026608695652173913043,39634,93,574.4057971014493,1.3478260869565217,69,8.729662212470588235294117647
11,10.0.0.137,199.46.35.128,52559,443,IP,TCP,54.0,5.877395375613861386138613861,5508,102,5508.0,102.0,1,0
12,199.46.35.123,10.0.0.137,443,52499,IP,TCP,421.8191489361702,6.383022269752688172043010753,39651,94,558.4647887323944,1.323943661971831,71,8.480301015528571428571428571
13,10.0.0.137,199.46.35.123,52499,443,IP,TCP,54.0,6.903157643906976744186046512,4698,87,4698.0,87.0,1,0
