,ID,downlink deq_qdepth,downlink deq_timedelta,downlink enq_qdepth,time,uplink deq_qdepth,uplink deq_timedelta,uplink enq_qdepth
0,Ex39,0,25,0,2024-03-01 19:07:19.282930130,0,23,0
1,Ex39,0,26,0,2024-03-01 19:07:19.526441884,0,21,0
2,Ex39,0,23,0,2024-03-01 19:07:20.516350481,0,37,0
3,Ex39,0,25,0,2024-03-01 19:07:21.527937144,0,23,0
4,Ex39,0,21,0,2024-03-01 19:07:22.580538539,0,23,0
5,Ex39,0,44,0,2024-03-01 19:07:23.542525999,0,63,0
6,Ex39,0,38,0,2024-03-01 19:07:24.553577164,0,37,0
7,Ex39,0,46,0,2024-03-01 19:07:25.557256939,0,61,0
8,Ex39,0,50,0,2024-03-01 19:07:26.572507148,0,44,0
9,Ex39,0,44,0,2024-03-01 19:07:27.579125305,0,38,0
10,Ex39,0,41,0,2024-03-01 19:07:28.592924109,0,56,0
11,Ex39,0,42,0,2024-03-01 19:07:29.592493419,0,55,0
12,Ex39,0,37,0,2024-03-01 19:07:30.626623583,0,294,0
13,Ex39,0,37,0,2024-03-01 19:07:31.608628452,0,56,0
14,Ex39,0,65,0,2024-03-01 19:07:32.622360452,0,39,0
15,Ex39,0,65,0,2024-03-01 19:07:33.623395614,0,45,0
16,Ex39,0,47,0,2024-03-01 19:07:34.650973446,0,41,0
17,Ex39,0,183,0,2024-03-01 19:07:35.642838279,0,65,0
18,Ex39,0,323,0,2024-03-01 19:07:36.656939164,0,56,0
19,Ex39,0,67,0,2024-03-01 19:07:37.662567238,0,61,0
20,Ex39,0,44,0,2024-03-01 19:07:38.668715887,0,44,0
21,Ex39,0,40,0,2024-03-01 19:07:39.687234996,0,314,0
22,Ex39,0,31,0,2024-03-01 19:07:40.697910865,0,38,0
23,Ex39,0,24,0,2024-03-01 19:07:41.706145346,0,34,0
24,Ex39,0,34,0,2024-03-01 19:07:42.723504087,0,35,0
25,Ex39,0,24,0,2024-03-01 19:07:43.727647480,0,23,0
26,Ex39,0,34,0,2024-03-01 19:07:44.743118322,0,23,0
27,Ex39,0,32,0,2024-03-01 19:07:45.752034152,0,33,0
28,Ex39,0,57,0,2024-03-01 19:07:46.757798879,0,73,0
29,Ex39,0,48,0,2024-03-01 19:07:47.763414412,0,142,0
30,Ex39,0,77,0,2024-03-01 19:07:48.767141236,0,45,0
31,Ex39,0,45,0,2024-03-01 19:07:49.777822346,0,46,0
32,Ex39,0,64,0,2024-03-01 19:07:50.787894950,0,62,0
33,Ex39,14,5816,11,2024-03-01 19:07:51.812855948,0,36,0
34,Ex39,0,1815,3,2024-03-01 19:07:52.807201681,0,24,0
35,Ex39,0,1338,2,2024-03-01 19:07:53.822326722,0,41,0
36,Ex39,0,23,0,2024-03-01 19:07:54.827850651,0,42,0
37,Ex39,0,25,0,2024-03-01 19:07:55.842683490,0,32,0
38,Ex39,0,2136,4,2024-03-01 19:07:56.858642861,0,37,0
39,Ex39,0,25,0,2024-03-01 19:07:57.866545365,0,23,0
40,Ex39,0,225,0,2024-03-01 19:07:58.872324648,0,22,0
41,Ex39,3,3935,7,2024-03-01 19:07:59.892804686,0,23,0
42,Ex39,0,668,1,2024-03-01 19:08:00.893301852,0,39,0
43,Ex39,0,23,0,2024-03-01 19:08:01.969096049,0,34,0
44,Ex39,1,1496,2,2024-03-01 19:08:02.927436382,0,41,0
45,Ex39,0,36,0,2024-03-01 19:08:03.933676729,0,50,0
46,Ex39,0,2153,4,2024-03-01 19:08:04.943093831,0,39,0
47,Ex39,0,38,0,2024-03-01 19:08:05.942594332,0,38,0
48,Ex39,0,37,0,2024-03-01 19:08:06.956799301,0,42,0
49,Ex39,1,6304,12,2024-03-01 19:08:07.964472306,0,37,0
50,Ex39,0,24,0,2024-03-01 19:08:08.977766269,0,24,0
51,Ex39,5,1701,3,2024-03-01 19:08:09.987382008,0,36,0
52,Ex39,6,6240,12,2024-03-01 19:08:10.997885100,0,40,0
53,Ex39,0,44,0,2024-03-01 19:08:12.008557432,0,23,0
54,Ex39,0,1221,2,2024-03-01 19:08:13.028098305,0,57,0
55,Ex39,63,29131,58,2024-03-01 19:08:14.517874985,2,801,1
56,Ex39,0,23,0,2024-03-01 19:08:15.058470475,0,34,0
57,Ex39,0,25,0,2024-03-01 19:08:16.049487001,0,34,0
58,Ex39,0,36,0,2024-03-01 19:08:17.058474077,0,23,0
59,Ex39,3,4788,9,2024-03-01 19:08:18.072956319,0,34,0
60,Ex39,0,22,0,2024-03-01 19:08:19.078144414,0,32,0
61,Ex39,24,13831,27,2024-03-01 19:08:20.138473957,0,36,0
62,Ex39,2,6737,13,2024-03-01 19:08:21.112249346,0,33,0
63,Ex39,11,13560,27,2024-03-01 19:08:22.133824860,0,24,0
64,Ex39,0,2906,5,2024-03-01 19:08:23.126771926,0,37,0
65,Ex39,31,9137,18,2024-03-01 19:08:24.237657291,1,336,0
66,Ex39,0,34,0,2024-03-01 19:08:25.157629405,0,586,1
67,Ex39,46,13129,26,2024-03-01 19:08:26.168112709,0,315,0
68,Ex39,1,8539,17,2024-03-01 19:08:27.177712576,0,40,0
69,Ex39,0,1775,3,2024-03-01 19:08:28.177667645,0,35,0
70,Ex39,7,5096,10,2024-03-01 19:08:29.199082416,0,53,0
71,Ex39,5,1329,2,2024-03-01 19:08:30.248208190,0,37,0
72,Ex39,0,31,0,2024-03-01 19:08:31.257667295,0,22,0
73,Ex39,63,31547,63,2024-03-01 19:08:32.342324489,0,40,0
74,Ex39,0,23,0,2024-03-01 19:08:33.264774768,0,34,0
75,Ex39,0,22,0,2024-03-01 19:08:34.273035855,0,35,0
76,Ex39,0,35,0,2024-03-01 19:08:35.278517073,0,114,0
77,Ex39,0,33,0,2024-03-01 19:08:36.288894473,0,51,0
78,Ex39,7,1523,3,2024-03-01 19:08:37.296850283,0,161,0
79,Ex39,0,34,0,2024-03-01 19:08:38.307719093,0,55,0
80,Ex39,5,2938,5,2024-03-01 19:08:39.329146151,0,60,0
81,Ex39,0,2074,4,2024-03-01 19:08:40.328910501,0,33,0
82,Ex39,11,4197,8,2024-03-01 19:08:41.342583455,0,48,0
83,Ex39,16,11660,23,2024-03-01 19:08:42.357881701,0,31,0
84,Ex39,2,842,1,2024-03-01 19:08:43.352570503,0,33,0
85,Ex39,4,548,2,2024-03-01 19:08:44.358458823,0,43,0
86,Ex39,35,14860,29,2024-03-01 19:08:45.392844364,0,35,0
87,Ex39,59,31348,62,2024-03-01 19:08:46.408269980,1,409,0
88,Ex39,0,24,0,2024-03-01 19:08:47.386995464,0,22,0
89,Ex39,2,3357,6,2024-03-01 19:08:48.398454991,0,58,0
