ID,SrcIP,DstIP,SrcPort,DstPort,IPVersion,Protocol,PS,IPI,FlowSizeBytes,FlowSizePackets,FS,FS(PKT),NumFrames,IFI
1,10.0.0.20,13.104.107.136,50320,1118,IP,UDP,136.74237989135975,0.01114460207283080418256487927,9389689,68667,183.17770191182208,1.339582520483808,51260,0.01492918796568407499170877309
2,13.104.107.136,10.0.0.20,1118,50320,IP,UDP,1090.2392281178375,0.001217196312734612594958453688,685430132,628697,5221.449600828813,4.789269608141874,131272,0.005829516443319545063266067905
3,10.0.0.31,10.0.0.20,22,11854,IP,TCP,97.9524870081663,0.5677967986797919762258543834,131942,1347,14660.222222222223,149.66666666666666,9,95.211808753125
4,10.0.0.20,20.241.33.111,12600,443,IP,TCP,54.0,0.155836879,108,2,108.0,2.0,1,0
5,20.241.33.111,10.0.0.20,443,12600,IP,TCP,60.0,0,60,1,60.0,1.0,1,0
6,199.46.35.120,10.0.0.20,443,12524,IP,TCP,78.0,9.978890118986842105263157895,6006,77,6006.0,77.0,1,0
7,10.0.0.20,199.46.35.120,12524,443,IP,TCP,54.0,10.11171075608,4104,76,4104.0,76.0,1,0
8,10.0.0.20,10.0.0.16,65490,53,IP,UDP,93.0,0,93,1,93.0,1.0,1,0
9,10.0.0.20,10.0.0.16,56717,53,IP,UDP,93.0,0,93,1,93.0,1.0,1,0
10,10.0.0.16,10.0.0.20,53,65490,IP,UDP,258.0,0,258,1,258.0,1.0,1,0
11,10.0.0.16,10.0.0.20,53,56717,IP,UDP,214.0,0,214,1,214.0,1.0,1,0
12,10.0.0.20,10.0.0.16,54072,53,IP,UDP,93.0,0,93,1,93.0,1.0,1,0
13,10.0.0.16,10.0.0.20,53,54072,IP,UDP,258.0,0,258,1,258.0,1.0,1,0
14,10.0.0.20,20.189.173.3,12605,443,IP,TCP,880.2857142857143,0.2731156444074074074074074074,24648,28,2054.0,2.3333333333333335,12,0.1074620924545454545454545455
15,20.189.173.3,10.0.0.20,443,12605,IP,TCP,591.1538461538462,0.59564285025,7685,13,768.5,1.3,10,0.794190467
16,2603:1050:4:96::adb:8660,2804:38a:a220:2c3:8449:22f5:cf0c:e464,9002,50321,IPv6,UDP,158.0,24.27826056316129032258064516,5056,32,5056.0,32.0,1,0
17,2804:38a:a220:2c3:8449:22f5:cf0c:e464,2603:1050:4:96::adb:8660,50321,9002,IPv6,UDP,138.0,25.08724264536666666666666667,4278,31,4278.0,31.0,1,0
18,2804:38a:a220:2c3:8449:22f5:cf0c:e464,2800:3f0:4004:805::200e,54871,443,IPv6,UDP,109.60115606936417,1.802292858110465116279069767,18961,173,421.35555555555555,3.8444444444444446,45,7.045326627159090909090909091
19,2800:3f0:4004:805::200e,2804:38a:a220:2c3:8449:22f5:cf0c:e464,443,54871,IPv6,UDP,124.61581920903954,1.761321983528409090909090909,22057,177,416.1698113207547,3.339622641509434,53,5.961397482711538461538461538
20,2804:38a:a220:2c3:8449:22f5:cf0c:e464,2800:3f0:4003:c08::bc,11785,5228,IPv6,TCP,77.2,32.50429143833333333333333333,772,10,257.3333333333333,3.3333333333333335,3,133.973859212
