,ID,downlink deq_qdepth,downlink deq_timedelta,downlink enq_qdepth,time,uplink deq_qdepth,uplink deq_timedelta,uplink enq_qdepth
0,Ex37,14,6610,13,2024-03-01 18:20:14.533207202,0,47,0
1,Ex37,0,46,0,2024-03-01 18:20:15.653451112,0,162,0
2,Ex37,0,35,0,2024-03-01 18:20:16.628397038,0,39,0
3,Ex37,20,5770,11,2024-03-01 18:20:17.642654934,0,63,0
4,Ex37,0,2870,5,2024-03-01 18:20:18.667251687,0,55,0
5,Ex37,0,2245,4,2024-03-01 18:20:19.718427098,0,131,0
6,Ex37,0,3052,6,2024-03-01 18:20:20.772739143,0,35,0
7,Ex37,0,41,0,2024-03-01 18:20:21.796035936,0,56,0
8,Ex37,0,4441,8,2024-03-01 18:20:22.817173599,0,429,0
9,Ex37,0,38,0,2024-03-01 18:20:23.862279259,3,914,1
10,Ex37,0,1807,3,2024-03-01 18:20:24.877958106,0,38,0
11,Ex37,0,7517,15,2024-03-01 18:20:25.899615336,0,25,0
12,Ex37,0,3333,6,2024-03-01 18:20:26.917538966,0,35,0
13,Ex37,0,4073,8,2024-03-01 18:20:27.932195689,0,33,0
14,Ex37,1,5322,10,2024-03-01 18:20:28.952516276,0,22,0
15,Ex37,1,7141,14,2024-03-01 18:20:29.988586421,0,34,0
16,Ex37,0,6159,12,2024-03-01 18:20:31.007805716,0,23,0
17,Ex37,0,24,0,2024-03-01 18:20:32.012153583,0,35,0
18,Ex37,0,23,0,2024-03-01 18:20:33.032357734,0,33,0
19,Ex37,0,25,0,2024-03-01 18:20:34.043954161,0,33,0
20,Ex37,0,41,0,2024-03-01 18:20:35.068006470,0,62,0
21,Ex37,0,164,0,2024-03-01 18:20:36.082577230,0,40,0
22,Ex37,0,36,0,2024-03-01 18:20:37.092109959,0,57,0
23,Ex37,8,3855,7,2024-03-01 18:20:38.102318885,0,64,0
24,Ex37,0,38,0,2024-03-01 18:20:39.167505994,0,284,0
25,Ex37,5,2561,5,2024-03-01 18:20:40.217810589,0,132,0
26,Ex37,18,5618,11,2024-03-01 18:20:41.228106860,0,82,0
27,Ex37,2,5137,10,2024-03-01 18:20:42.252042913,0,62,0
28,Ex37,0,39,0,2024-03-01 18:20:43.257758022,0,60,0
29,Ex37,0,43,0,2024-03-01 18:20:44.283509052,0,43,0
30,Ex37,0,42,0,2024-03-01 18:20:45.288270544,0,212,0
31,Ex37,0,1253,2,2024-03-01 18:20:46.317507717,0,41,0
32,Ex37,0,23,0,2024-03-01 18:20:47.338448422,0,27,0
33,Ex37,1,7114,14,2024-03-01 18:20:48.352642373,0,39,0
34,Ex37,0,25,0,2024-03-01 18:20:49.372363636,0,183,0
35,Ex37,1,4286,8,2024-03-01 18:20:50.390676845,0,743,1
36,Ex37,0,24,0,2024-03-01 18:20:51.413863922,0,21,0
37,Ex37,0,3455,6,2024-03-01 18:20:52.423635136,0,266,0
38,Ex37,0,46,0,2024-03-01 18:20:53.447088893,0,39,0
39,Ex37,0,42,0,2024-03-01 18:20:54.518823891,0,54,0
40,Ex37,0,50,0,2024-03-01 18:20:55.483106290,0,69,0
41,Ex37,0,58,0,2024-03-01 18:20:56.488601222,0,61,0
42,Ex37,0,42,0,2024-03-01 18:20:57.504303024,0,44,0
43,Ex37,0,42,0,2024-03-01 18:20:59.007505263,0,39,0
44,Ex37,0,198,0,2024-03-01 18:21:00.139925162,2,730,1
45,Ex37,0,42,0,2024-03-01 18:21:01.147543846,0,42,0
46,Ex37,1,949,1,2024-03-01 18:21:02.172861840,0,40,0
47,Ex37,0,44,0,2024-03-01 18:21:03.188739896,0,283,0
48,Ex37,0,36,0,2024-03-01 18:21:04.204029872,0,114,0
49,Ex37,2,1229,2,2024-03-01 18:21:05.237975357,0,39,0
50,Ex37,5,2529,5,2024-03-01 18:21:06.297281209,0,61,0
51,Ex37,3,1481,3,2024-03-01 18:21:07.298017894,0,42,0
52,Ex37,0,40,0,2024-03-01 18:21:08.323434582,0,39,0
53,Ex37,0,40,0,2024-03-01 18:21:09.317396387,0,52,0
54,Ex37,0,38,0,2024-03-01 18:21:10.338347227,0,40,0
55,Ex37,0,47,0,2024-03-01 18:21:11.382569872,0,41,0
56,Ex37,7,1692,3,2024-03-01 18:21:12.392277424,0,1064,0
57,Ex37,0,1194,2,2024-03-01 18:21:13.455704502,0,59,0
58,Ex37,0,40,0,2024-03-01 18:21:14.454453177,1,707,1
59,Ex37,1,5526,11,2024-03-01 18:21:15.462432308,0,158,0
60,Ex37,0,64,0,2024-03-01 18:21:16.478544444,0,62,0
61,Ex37,0,36,0,2024-03-01 18:21:17.493353449,0,29,0
62,Ex37,0,1593,3,2024-03-01 18:21:18.517171773,0,69,0
63,Ex37,0,39,0,2024-03-01 18:21:19.537455137,0,170,0
64,Ex37,0,40,0,2024-03-01 18:21:20.552468963,0,140,0
65,Ex37,0,46,0,2024-03-01 18:21:21.562638203,0,69,0
66,Ex37,1,278,0,2024-03-01 18:21:22.581925110,0,61,0
67,Ex37,0,45,0,2024-03-01 18:21:23.588106074,0,50,0
68,Ex37,0,53,0,2024-03-01 18:21:24.612835107,0,38,0
69,Ex37,0,46,0,2024-03-01 18:21:25.642479031,0,61,0
70,Ex37,0,40,0,2024-03-01 18:21:26.652784426,0,39,0
71,Ex37,0,46,0,2024-03-01 18:21:27.669157091,0,43,0
72,Ex37,0,64,0,2024-03-01 18:21:28.702318353,0,38,0
73,Ex37,0,625,1,2024-03-01 18:21:29.747439051,0,491,0
74,Ex37,0,38,0,2024-03-01 18:21:30.756847440,0,38,0
75,Ex37,0,44,0,2024-03-01 18:21:31.772270941,0,41,0
76,Ex37,0,39,0,2024-03-01 18:21:32.782413251,0,39,0
77,Ex37,0,50,0,2024-03-01 18:21:33.803237644,0,36,0
78,Ex37,0,38,0,2024-03-01 18:21:34.821873136,0,59,0
79,Ex37,0,40,0,2024-03-01 18:21:35.838432721,0,38,0
80,Ex37,2,2276,4,2024-03-01 18:21:36.874908050,0,85,0
81,Ex37,0,37,0,2024-03-01 18:21:37.922569348,0,59,0
82,Ex37,0,1305,2,2024-03-01 18:21:38.972442960,0,57,0
83,Ex37,0,46,0,2024-03-01 18:21:39.987546204,0,192,0
84,Ex37,1,2826,5,2024-03-01 18:21:41.002980299,0,69,0
85,Ex37,0,37,0,2024-03-01 18:21:42.017176696,0,38,0
86,Ex37,3,4114,8,2024-03-01 18:21:43.032790901,0,43,0
87,Ex37,0,52,0,2024-03-01 18:21:44.072066751,0,78,0
88,Ex37,0,68,0,2024-03-01 18:21:45.097319815,0,311,0
89,Ex37,0,45,0,2024-03-01 18:21:46.102740301,0,48,0
