ID,SrcIP,DstIP,SrcPort,DstPort,IPVersion,Protocol,PS,IPI,FlowSizeBytes,FlowSizePackets,FS,FS(PKT),NumFrames,IFI
1,13.104.104.158,10.0.0.20,1056,59602,IP,UDP,1097.376460249218,0.001015771464141179817327783855,648074324,590567,5085.927596625466,4.6346242887973315,127425,0.004707747199106918633852335510
2,13.104.105.196,10.0.0.137,1032,53466,IP,UDP,1028.3922634664748,0.001893998572481293215041202286,325723710,316731,3109.089008733833,3.023252040280628,104765,0.005726071624928410522698636936
3,10.0.0.137,13.104.105.196,53466,1032,IP,UDP,130.72673869715723,0.01048788718819168837526443695,7477308,57198,210.40909474632073,1.6095337254129498,35537,0.01688078803193944169293111211
4,20.241.33.111,10.0.0.137,443,52604,IP,TCP,212.78125,18.87946326883870967741935484,6809,32,324.23809523809524,1.5238095238095237,21,29.2631680667
5,10.0.0.137,239.255.255.250,64297,1900,IP,UDP,216.0,1.001253261666666666666666667,864,4,864.0,4.0,1,0
6,10.0.0.20,13.104.104.158,59602,1056,IP,UDP,134.58698687102714,0.008908915552494393370067279559,9062011,67332,181.2655971836057,1.3468285559978397,49993,0.01199884367628820611297807649
7,10.0.0.17,10.0.0.137,33437,64297,IP,UDP,372.0,0.06906053233333333333333333333,1488,4,1488.0,4.0,1,0
8,10.0.0.137,20.241.33.111,52604,443,IP,TCP,531.5,15.37772114433333333333333333,21260,40,531.5,1.0,40,15.37772114433333333333333333
9,10.0.0.31,10.0.0.20,22,11854,IP,TCP,98.12121212121212,0.5506838869301470588235294118,106854,1089,21370.8,217.8,5,91.13369328425
10,10.0.0.137,192.168.0.46,52871,9100,IP,TCP,66.0,6.001558095,198,3,198.0,3.0,1,0
11,10.0.0.17,10.0.0.137,35949,64297,IP,UDP,372.0,0.066890743,1488,4,1488.0,4.0,1,0
12,10.0.0.137,20.42.73.27,52607,443,IP,TCP,1302.561629153269,0.3178753660021447721179624665,2430580,1866,5330.2192982456145,4.092105263157895,456,1.302939687019780219780219780
13,20.42.73.27,10.0.0.137,443,52607,IP,TCP,71.1852487135506,1.018779787268041237113402062,41501,583,223.1236559139785,3.1344086021505375,186,3.205026141567567567567567568
14,10.0.0.20,239.255.255.250,53222,1900,IP,UDP,216.0,1.004481486666666666666666667,864,4,864.0,4.0,1,0
15,10.0.0.17,10.0.0.20,53936,53222,IP,UDP,372.0,0.06687912566666666666666666667,1488,4,1488.0,4.0,1,0
16,199.46.35.127,10.0.0.20,443,13098,IP,TCP,99.93442622950819,9.837694250083333333333333333,6096,61,1524.0,15.25,4,59.095963615
17,10.0.0.20,199.46.35.127,13098,443,IP,TCP,54.0,10.00454341186440677966101695,3240,60,3240.0,60.0,1,0
18,34.196.233.7,10.0.0.20,443,14188,IP,TCP,210.29207920792078,0.4917986238158546655656482246,254874,1212,215.9949152542373,1.0271186440677966,1180,0.5051468477022900763358778626
19,10.0.0.20,34.196.233.7,14188,443,IP,TCP,257.2778730703259,0.3406912470972540045766590389,449979,1749,258.01548165137615,1.0028669724770642,1744,0.3415745827045324153757888698
20,10.0.0.17,10.0.0.137,35276,64297,IP,UDP,372.0,0.06685153366666666666666666667,1488,4,1488.0,4.0,1,0
21,10.0.0.20,52.182.141.63,13325,443,IP,TCP,1326.7440966501922,0.3230177233104395604395604396,2416001,1821,5892.685365853658,4.441463414634146,410,1.437389380012224938875305623
22,52.182.141.63,10.0.0.20,443,13325,IP,TCP,69.60207612456747,1.018980196608318890814558059,40230,578,245.3048780487805,3.524390243902439,164,3.607064867748466257668711656
23,10.0.0.17,10.0.0.20,33767,53222,IP,UDP,372.0,0.06712849733333333333333333333,1488,4,1488.0,4.0,1,0
24,10.0.0.20,20.125.23.128,13101,443,IP,TCP,54.5,29.21333919557894736842105263,1090,20,54.5,1.0,20,29.21333919557894736842105263
25,10.0.0.17,10.0.0.137,34555,64297,IP,UDP,372.0,0.06690217433333333333333333333,1488,4,1488.0,4.0,1,0
26,20.125.23.128,10.0.0.20,443,13101,IP,TCP,165.5,29.19907660757894736842105263,3310,20,165.5,1.0,20,29.19907660757894736842105263
27,10.0.0.17,10.0.0.20,50337,53222,IP,UDP,372.0,0.06565668133333333333333333333,1488,4,1488.0,4.0,1,0
28,20.110.86.75,10.0.0.137,443,52558,IP,TCP,145.0344827586207,20.39539485146428571428571429,4206,29,175.25,1.2083333333333333,24,23.52346556530434782608695652
29,10.0.0.137,20.110.86.75,52558,443,IP,TCP,71.62962962962963,21.95664087646153846153846154,1934,27,96.7,1.35,20,30.04592962042105263157894737
30,199.46.35.128,10.0.0.137,443,52559,IP,TCP,315.31325301204816,7.208662969634146341463414634,26171,83,594.7954545454545,1.8863636363636365,44,13.74675263976744186046511628
31,10.0.0.137,199.46.35.128,52559,443,IP,TCP,54.0,6.356180118709677419354838710,5076,94,5076.0,94.0,1,0
32,199.46.35.123,10.0.0.137,443,52499,IP,TCP,311.8809523809524,7.121876361144578313253012048,26198,84,569.5217391304348,1.826086956521739,46,13.13590528833333333333333333
33,10.0.0.137,199.46.35.123,52499,443,IP,TCP,54.0,7.676329785376623376623376623,4212,78,4212.0,78.0,1,0
