,ID,downlink deq_qdepth,downlink deq_timedelta,downlink enq_qdepth,time,uplink deq_qdepth,uplink deq_timedelta,uplink enq_qdepth
0,Ex40,0,40,0,2024-03-01 19:25:43.408431173,0,48,0
1,Ex40,0,1912,3,2024-03-01 19:25:43.706271764,0,38,0
2,Ex40,2,1100,2,2024-03-01 19:25:44.757160433,0,306,0
3,Ex40,0,23,0,2024-03-01 19:25:47.865053649,0,33,0
4,Ex40,0,22,0,2024-03-01 19:25:48.196650628,0,40,0
5,Ex40,0,22,0,2024-03-01 19:25:48.797139284,0,22,0
6,Ex40,0,23,0,2024-03-01 19:25:49.801974503,0,24,0
7,Ex40,10,5232,10,2024-03-01 19:25:50.812134860,0,80,0
8,Ex40,1,518,1,2024-03-01 19:25:51.827315593,0,53,0
9,Ex40,0,37,0,2024-03-01 19:25:52.837370788,0,36,0
10,Ex40,0,41,0,2024-03-01 19:25:56.863716729,0,38,0
11,Ex40,0,241,0,2024-03-01 19:25:57.061850568,0,36,0
12,Ex40,0,45,0,2024-03-01 19:25:57.246902624,0,61,0
13,Ex40,0,22,0,2024-03-01 19:25:57.497200638,0,33,0
14,Ex40,0,23,0,2024-03-01 19:25:57.871383322,0,34,0
15,Ex40,0,32,0,2024-03-01 19:25:58.877706102,0,33,0
16,Ex40,0,25,0,2024-03-01 19:25:59.891326083,0,36,0
17,Ex40,0,23,0,2024-03-01 19:26:00.903266726,0,37,0
18,Ex40,0,36,0,2024-03-01 19:26:01.913057815,0,57,0
19,Ex40,0,721,1,2024-03-01 19:26:02.919559539,0,57,0
20,Ex40,2,496,0,2024-03-01 19:26:03.933380800,0,39,0
21,Ex40,0,4580,9,2024-03-01 19:26:04.937953424,0,522,1
22,Ex40,0,22,0,2024-03-01 19:26:05.951978733,0,37,0
23,Ex40,0,1583,3,2024-03-01 19:26:07.971278695,0,35,0
24,Ex40,6,2455,4,2024-03-01 19:26:08.166784769,0,97,0
