ID,SrcIP,DstIP,SrcPort,DstPort,IPVersion,Protocol,PS,IPI,FlowSizeBytes,FlowSizePackets,FS,FS(PKT),NumFrames,IFI
1,13.104.105.100,10.0.0.20,1027,64059,IP,UDP,1128.4686534349219,0.0008596909232379983230975398264,787350635,697716,5733.107861126888,5.080431648390056,137334,0.004367626517348343078502617725
2,10.0.0.20,13.104.105.100,64059,1027,IP,UDP,140.79410235299216,0.01299618514230927567005395099,6498211,46154,222.54147260273973,1.5806164383561643,29200,0.02054166555964245350868180417
3,10.0.0.20,34.196.233.7,13180,443,IP,TCP,257.42487046632124,0.3435008119326036866359447005,447147,1737,259.96918604651165,1.0098837209302325,1720,0.3464862644188481675392670157
4,34.196.233.7,10.0.0.20,443,13180,IP,TCP,207.84,0.4972043822935779816513761468,249408,1200,214.45227858985382,1.0318142734307825,1163,0.5130361913683304647160068847
5,10.0.0.31,10.0.0.20,22,11854,IP,TCP,97.97333333333333,0.5708563243784556720686367969,102872,1050,14696.0,150.0,7,88.1360871225
6,10.0.0.20,52.171.56.110,13155,443,IP,TCP,54.333333333333336,18.004800815,163,3,81.5,1.5,2,35.835049719
7,10.0.0.20,52.171.56.110,13153,443,IP,TCP,54.333333333333336,18.004330395,163,3,81.5,1.5,2,35.835614783
8,10.0.0.20,52.171.56.110,13156,443,IP,TCP,54.333333333333336,18.0028509245,163,3,81.5,1.5,2,35.834386689
9,10.0.0.20,52.171.56.110,13157,443,IP,TCP,54.333333333333336,17.9779149635,163,3,81.5,1.5,2,35.791256210
10,10.0.0.20,52.171.56.110,13154,443,IP,TCP,54.333333333333336,17.981958591,163,3,81.5,1.5,2,35.790352034
11,52.171.56.110,10.0.0.20,443,13155,IP,TCP,62.0,17.919187657,186,3,186.0,3.0,1,0
12,52.171.56.110,10.0.0.20,443,13153,IP,TCP,62.0,17.919166861,186,3,186.0,3.0,1,0
13,52.171.56.110,10.0.0.20,443,13156,IP,TCP,62.0,17.916173887,186,3,186.0,3.0,1,0
14,10.0.0.20,52.171.56.110,13158,443,IP,TCP,54.333333333333336,17.9145537305,163,3,81.5,1.5,2,35.653691043
15,52.171.56.110,10.0.0.20,443,13157,IP,TCP,62.0,17.891781902,186,3,186.0,3.0,1,0
16,52.171.56.110,10.0.0.20,443,13154,IP,TCP,62.0,17.8922586205,186,3,186.0,3.0,1,0
17,52.171.56.110,10.0.0.20,443,13158,IP,TCP,62.0,17.8280660465,186,3,186.0,3.0,1,0
18,2804:38a:a220:2c3:8449:22f5:cf0c:e464,2800:3f0:4004:805::200e,56269,443,IPv6,UDP,237.68069306930693,1.430205995181141439205955335,96023,404,1156.9036144578313,4.867469879518072,83,6.853284348097560975609756098
19,10.0.0.20,10.0.0.16,53909,53,IP,UDP,75.0,0,75,1,75.0,1.0,1,0
20,10.0.0.20,10.0.0.16,52858,53,IP,UDP,75.0,0,75,1,75.0,1.0,1,0
21,10.0.0.16,10.0.0.20,53,53909,IP,UDP,103.0,0,103,1,103.0,1.0,1,0
22,10.0.0.20,10.0.0.16,59046,53,IP,UDP,75.0,0,75,1,75.0,1.0,1,0
23,10.0.0.16,10.0.0.20,53,52858,IP,UDP,91.0,0,91,1,91.0,1.0,1,0
24,2800:3f0:4004:805::200e,2804:38a:a220:2c3:8449:22f5:cf0c:e464,443,56269,IPv6,UDP,109.91374663072776,1.557774957067567567567567568,40778,371,403.74257425742576,3.6732673267326734,101,5.76376733652
25,2804:38a:a220:2c3:8449:22f5:cf0c:e464,2800:3f0:4004:806::200e,52378,443,IPv6,UDP,1027.0217391304348,0.09588681284444444444444444444,47243,46,2779.0,2.7058823529411766,17,0.269681661125
26,10.0.0.16,10.0.0.20,53,59046,IP,UDP,125.0,0,125,1,125.0,1.0,1,0
27,2800:3f0:4004:806::200e,2804:38a:a220:2c3:8449:22f5:cf0c:e464,443,52378,IPv6,UDP,247.25806451612902,0.1426658329,7665,31,479.0625,1.9375,16,0.2853316658
28,2804:38a:a220:2c3:8449:22f5:cf0c:e464,2800:3f0:4003:c01::bc,13052,5228,IPv6,TCP,75.0,45.09517490753846153846153846,1050,14,1050.0,14.0,1,0
