,ID,downlink deq_qdepth,downlink deq_timedelta,downlink enq_qdepth,time,uplink deq_qdepth,uplink deq_timedelta,uplink enq_qdepth
0,Ex38,0,24,0,2024-03-01 18:50:19.377324756,0,21,0
1,Ex38,0,24,0,2024-03-01 18:50:20.473266683,0,20,0
2,Ex38,0,41,0,2024-03-01 18:50:21.482892556,0,37,0
3,Ex38,0,24,0,2024-03-01 18:50:22.492272520,0,20,0
4,Ex38,0,35,0,2024-03-01 18:50:23.792792161,0,23,0
5,Ex38,0,23,0,2024-03-01 18:50:24.792264674,0,410,0
6,Ex38,0,20,0,2024-03-01 18:50:25.815590981,0,36,0
7,Ex38,0,45,0,2024-03-01 18:50:26.812100656,0,50,0
8,Ex38,1,5317,10,2024-03-01 18:50:27.827621187,0,24,0
9,Ex38,0,22,0,2024-03-01 18:50:28.842731923,0,23,0
10,Ex38,0,1304,2,2024-03-01 18:50:29.857521323,0,25,0
11,Ex38,0,26,0,2024-03-01 18:50:30.867010428,0,32,0
12,Ex38,1,2018,4,2024-03-01 18:50:31.887291651,0,41,0
13,Ex38,0,41,0,2024-03-01 18:50:32.892329224,0,66,0
14,Ex38,0,51,0,2024-03-01 18:50:33.912539743,0,43,0
15,Ex38,4,1718,3,2024-03-01 18:50:34.917673927,0,55,0
16,Ex38,0,40,0,2024-03-01 18:50:35.921989226,0,34,0
17,Ex38,0,41,0,2024-03-01 18:50:36.932541433,0,60,0
18,Ex38,0,51,0,2024-03-01 18:50:37.942667376,0,44,0
19,Ex38,0,40,0,2024-03-01 18:50:38.972127914,0,121,0
20,Ex38,1,3359,6,2024-03-01 18:50:39.961937608,0,55,0
21,Ex38,6,2970,6,2024-03-01 18:50:40.977593841,0,62,0
22,Ex38,0,41,0,2024-03-01 18:50:41.992774174,0,40,0
23,Ex38,0,37,0,2024-03-01 18:50:42.997518527,0,53,0
24,Ex38,0,42,0,2024-03-01 18:50:44.013083385,0,38,0
25,Ex38,1,1437,2,2024-03-01 18:50:45.037313678,0,59,0
26,Ex38,0,41,0,2024-03-01 18:50:46.110596558,0,42,0
27,Ex38,0,58,0,2024-03-01 18:50:47.097390292,0,485,0
28,Ex38,0,46,0,2024-03-01 18:50:48.115568353,0,73,0
29,Ex38,0,874,1,2024-03-01 18:50:49.123669142,0,59,0
30,Ex38,0,44,0,2024-03-01 18:50:50.126782262,0,70,0
31,Ex38,0,73,0,2024-03-01 18:50:51.147151823,0,47,0
32,Ex38,0,55,0,2024-03-01 18:50:52.164255368,0,57,0
33,Ex38,0,42,0,2024-03-01 18:50:53.173230933,0,39,0
34,Ex38,0,42,0,2024-03-01 18:50:54.176290580,0,40,0
35,Ex38,0,39,0,2024-03-01 18:50:55.222581336,0,35,0
36,Ex38,0,904,1,2024-03-01 18:50:56.232918194,0,43,0
37,Ex38,0,45,0,2024-03-01 18:50:57.253783786,0,41,0
38,Ex38,0,3069,6,2024-03-01 18:51:01.318111529,0,60,0
39,Ex38,0,24,0,2024-03-01 18:51:01.546120401,0,25,0
40,Ex38,2,3733,7,2024-03-01 18:51:01.758790299,0,36,0
41,Ex38,0,26,0,2024-03-01 18:51:03.373295275,0,24,0
42,Ex38,0,562,1,2024-03-01 18:51:04.365083984,0,24,0
43,Ex38,0,22,0,2024-03-01 18:51:04.568309905,0,35,0
44,Ex38,3,5051,10,2024-03-01 18:51:04.782609083,0,63,0
45,Ex38,0,39,0,2024-03-01 18:51:08.457781006,0,67,0
46,Ex38,1,2720,5,2024-03-01 18:51:08.687230433,0,32,0
47,Ex38,3,7714,15,2024-03-01 18:51:08.897045053,0,39,0
48,Ex38,0,2137,4,2024-03-01 18:51:09.101094049,0,25,0
49,Ex38,0,25,0,2024-03-01 18:51:09.483910378,0,33,0
50,Ex38,0,4241,8,2024-03-01 18:51:10.497712112,0,40,0
51,Ex38,11,3892,7,2024-03-01 18:51:11.527649298,0,36,0
52,Ex38,1,8406,16,2024-03-01 18:51:12.522291799,0,25,0
53,Ex38,1,2005,3,2024-03-01 18:51:13.562902492,0,209,0
54,Ex38,0,24,0,2024-03-01 18:51:14.753322845,0,38,0
55,Ex38,0,24,0,2024-03-01 18:51:15.591209819,0,36,0
56,Ex38,0,23,0,2024-03-01 18:51:16.597388020,0,23,0
57,Ex38,0,1311,2,2024-03-01 18:51:17.617628875,0,50,0
58,Ex38,10,2163,4,2024-03-01 18:51:18.627222569,0,39,0
59,Ex38,0,2763,5,2024-03-01 18:51:19.663045701,0,23,0
60,Ex38,2,6107,12,2024-03-01 18:51:20.687687199,0,400,0
61,Ex38,0,3689,7,2024-03-01 18:51:21.696801990,0,38,0
62,Ex38,0,2918,5,2024-03-01 18:51:22.727979738,0,31,0
63,Ex38,4,3076,6,2024-03-01 18:51:23.746653612,0,60,0
64,Ex38,1,2227,4,2024-03-01 18:51:24.757713037,0,24,0
65,Ex38,1,3273,6,2024-03-01 18:51:25.773046320,0,34,0
66,Ex38,0,7663,15,2024-03-01 18:51:26.819756173,0,37,0
67,Ex38,0,6286,12,2024-03-01 18:51:27.827660629,3,560,1
68,Ex38,0,1073,2,2024-03-01 18:51:28.867738898,0,41,0
69,Ex38,0,2228,4,2024-03-01 18:51:29.888178848,0,22,0
70,Ex38,0,24,0,2024-03-01 18:51:30.921033531,0,26,0
71,Ex38,0,22,0,2024-03-01 18:51:31.931653588,0,23,0
72,Ex38,23,8082,16,2024-03-01 18:51:32.985680057,0,28,0
73,Ex38,0,25,0,2024-03-01 18:51:33.997467702,0,23,0
74,Ex38,0,24,0,2024-03-01 18:51:35.017963450,0,24,0
75,Ex38,0,22,0,2024-03-01 18:51:36.037829341,0,24,0
76,Ex38,0,3653,7,2024-03-01 18:51:37.057635361,0,35,0
77,Ex38,6,3186,6,2024-03-01 18:51:38.092923074,0,739,1
78,Ex38,0,36,0,2024-03-01 18:51:39.103048250,1,4020,8
79,Ex38,0,37,0,2024-03-01 18:51:40.133418940,0,54,0
80,Ex38,0,6873,13,2024-03-01 18:51:41.159402576,0,65,0
81,Ex38,0,23,0,2024-03-01 18:51:42.172172175,0,35,0
82,Ex38,0,23,0,2024-03-01 18:51:43.192453833,0,24,0
83,Ex38,0,24,0,2024-03-01 18:51:44.198004807,0,32,0
84,Ex38,0,25,0,2024-03-01 18:51:45.222478160,0,39,0
85,Ex38,0,2298,4,2024-03-01 18:51:46.237761145,0,38,0
86,Ex38,0,34,0,2024-03-01 18:51:47.713139059,0,34,0
87,Ex38,0,453,0,2024-03-01 18:51:48.693466118,8,11855,2
88,Ex38,0,23,0,2024-03-01 18:51:49.696319103,0,22,0
89,Ex38,0,22,0,2024-03-01 18:51:50.722947512,0,20,0
90,Ex38,0,38,0,2024-03-01 18:51:51.738203648,0,37,0
91,Ex38,0,46,0,2024-03-01 18:51:52.757386534,0,39,0
92,Ex38,0,3942,7,2024-03-01 18:51:53.761610009,0,24,0
93,Ex38,0,35,0,2024-03-01 18:51:54.780773704,0,35,0
94,Ex38,0,147,0,2024-03-01 18:51:55.823178957,0,41,0
95,Ex38,0,35,0,2024-03-01 18:51:56.805399318,0,50,0
96,Ex38,0,75,0,2024-03-01 18:51:57.822918036,0,48,0
97,Ex38,7,3085,6,2024-03-01 18:51:58.828977342,0,42,0
98,Ex38,0,25,0,2024-03-01 18:51:59.850697673,0,25,0
99,Ex38,0,199,0,2024-03-01 18:52:00.863158376,0,57,0
100,Ex38,0,610,1,2024-03-01 18:52:01.872275876,0,44,0
101,Ex38,0,5502,10,2024-03-01 18:52:02.897510542,0,38,0
102,Ex38,0,119,0,2024-03-01 18:52:03.915696177,0,202,0
103,Ex38,0,842,1,2024-03-01 18:52:04.940726819,0,60,0
104,Ex38,0,33,0,2024-03-01 18:52:05.962223691,0,51,0
105,Ex38,1,6470,12,2024-03-01 18:52:06.977516563,0,657,1
106,Ex38,0,25,0,2024-03-01 18:52:07.992797820,0,33,0
107,Ex38,29,7451,14,2024-03-01 18:52:09.072300301,0,31,0
108,Ex38,1,2185,4,2024-03-01 18:52:10.082188399,0,879,1
