ID,SrcIP,DstIP,SrcPort,DstPort,IPVersion,Protocol,PS,IPI,FlowSizeBytes,FlowSizePackets,FS,FS(PKT),NumFrames,IFI
1,200.18.102.12,13.104.103.26,49187,1074,IP,UDP,138.62575767668022,0.01001185114624154889705474205,12487131,90078,188.87843356727976,1.3625060503388189,66112,0.01364126265976917608264887840
2,13.104.103.26,200.18.102.12,1074,49187,IP,UDP,1104.6931564441734,0.0009512395888050476327091999899,1047347430,948089,4969.054200233425,4.4981306992323535,210774,0.004278814291408292333458270272
3,200.18.102.12,142.251.132.46,46583,443,IP,TCP,54.0,1.6050761595,162,3,162.0,3.0,1,0
4,200.18.102.25,224.0.1.129,319,319,IP,UDP,86.0,1.003460020524498886414253898,77314,899,77314.0,899.0,1,0
5,200.18.102.25,224.0.1.129,320,320,IP,UDP,93.99911268855368,0.3999587691362627607634265424,211874,2254,110.00726895119419,1.170301142263759,1926,0.4681075879812987012987012987
6,200.18.102.12,34.196.233.7,46579,443,IP,TCP,255.56521739130434,0.4060902255545990031717263253,564288,2208,255.79691749773346,1.0009066183136899,2206,0.4060184026199546485260770975
7,200.18.102.27,224.0.1.129,319,319,IP,UDP,86.0,0.9939007889713024282560706402,78002,907,78002.0,907.0,1,0
8,34.196.233.7,200.18.102.12,443,46579,IP,TCP,209.601593625498,0.5954139765807308970099667774,315660,1506,210.58038692461642,1.0046697798532356,1499,0.5981962848825100133511348465
9,200.18.102.3,200.18.102.12,22,40699,IP,TCP,98.0,0.5698087975167615433270082226,155036,1582,155036.0,1582.0,1,0
10,200.18.102.12,34.196.233.7,46578,443,IP,TCP,54.0,0.141663258,108,2,108.0,2.0,1,0
11,200.18.102.12,142.251.132.46,46582,443,IP,TCP,54.0,0.011480069,108,2,108.0,2.0,1,0
12,142.251.132.46,200.18.102.12,443,46583,IP,TCP,60.0,0,60,1,60.0,1.0,1,0
13,142.251.132.46,200.18.102.12,443,46582,IP,TCP,60.0,0,60,1,60.0,1.0,1,0
14,34.196.233.7,200.18.102.12,443,46578,IP,TCP,60.0,0,60,1,60.0,1.0,1,0
15,200.18.102.28,239.255.255.250,59817,1900,IP,UDP,217.0,1.007934489,868,4,868.0,4.0,1,0
16,200.18.102.12,20.42.65.91,46584,443,IP,TCP,1147.3958333333333,0.1668534287872340425531914894,55075,48,4236.538461538462,3.6923076923076925,13,0.08334514383333333333333333333
17,142.251.128.142,200.18.102.12,443,46516,IP,TCP,137.105,4.479144180623115577889447236,27421,200,221.13709677419354,1.6129032258064515,124,7.246738772243902439024390244
18,200.18.102.12,142.251.128.142,46516,443,IP,TCP,381.0816326530612,6.105060560020547945205479452,56019,147,709.1012658227849,1.860759493670886,79,11.10828248567948717948717949
19,20.42.65.91,200.18.102.12,443,46584,IP,TCP,293.6,0.2656503194482758620689655172,8808,30,677.5384615384615,2.3076923076923075,13,0.641988272
20,199.46.35.125,200.18.102.12,443,45981,IP,TCP,167.13131313131314,9.058387875122448979591836735,16546,99,501.3939393939394,3.0,33,27.4886535343125
21,200.18.102.12,199.46.35.125,45981,443,IP,TCP,54.0,9.151961550608247422680412371,5292,98,5292.0,98.0,1,0
22,2801:b0:b0:116:84bf:9c98:1e45:d362,2800:3f0:4001:831::2004,46585,443,IPv6,TCP,86.0,0,86,1,86.0,1.0,1,0
23,200.18.102.12,142.251.129.196,46586,443,IP,TCP,139.5,0.4758225577142857142857142857,1116,8,223.2,1.6,5,0.827779956
24,142.251.129.196,200.18.102.12,443,46586,IP,TCP,733.375,0.4730038934285714285714285714,5867,8,838.1428571428571,1.1428571428571428,7,0.5518378756666666666666666667
25,200.18.102.12,20.115.21.104,46587,443,IP,TCP,289.6666666666667,0.6529318326363636363636363636,3476,12,496.57142857142856,1.7142857142857142,7,0.07757229716666666666666666667
26,20.115.21.104,200.18.102.12,443,46587,IP,TCP,596.2727272727273,0.7037780953,6559,11,819.875,1.375,8,1.005397279
27,200.18.102.12,52.176.61.32,45983,443,IP,TCP,54.5,29.48638190103448275862068966,1635,30,54.5,1.0,30,29.48638190103448275862068966
28,52.176.61.32,200.18.102.12,443,45983,IP,TCP,169.0,29.47912217848275862068965517,5070,30,169.0,1.0,30,29.47912217848275862068965517
29,200.18.102.12,64.233.190.188,43121,5228,IP,TCP,56.142857142857146,42.77657779125,1179,21,294.75,5.25,4,224.9791403076666666666666667
30,64.233.190.188,200.18.102.12,5228,43121,IP,TCP,66.38095238095238,42.77636264745,1394,21,464.6666666666667,7.0,3,337.467297496
31,fe80::a77:23c6:e5b8:5768,ff02::c,49307,3702,IPv6,UDP,718.0,47.51070713169230769230769231,10052,14,10052.0,14.0,1,0
32,200.18.102.12,239.255.255.250,49306,3702,IP,UDP,698.0,47.39038540376923076923076923,9772,14,9772.0,14.0,1,0
33,200.18.102.12,20.42.65.91,46588,443,IP,TCP,350.23809523809524,0.41164130295,7355,21,459.6875,1.3125,16,0.2899064939333333333333333333
34,20.42.65.91,200.18.102.12,443,46588,IP,TCP,478.2352941176471,0.505135601875,8130,17,580.7142857142857,1.2142857142857142,14,0.6217053561538461538461538462
35,2801:b0:b0:116:bc2c:81c8:fd9b:a197,ff02::fb,5353,5353,IPv6,UDP,169.0,460.576197004,338,2,169.0,1.0,2,460.576197004
