,ID,downlink deq_qdepth,downlink deq_timedelta,downlink enq_qdepth,time,uplink deq_qdepth,uplink deq_timedelta,uplink enq_qdepth
0,Ex20,0,51,0,2024-01-31 17:03:38.827073134,0,44,0
1,Ex20,0,119,0,2024-01-31 17:03:39.257704967,0,89,0
2,Ex20,0,22,0,2024-01-31 17:03:40.262371998,0,35,0
3,Ex20,0,25,0,2024-01-31 17:03:41.272561607,0,36,0
4,Ex20,0,22,0,2024-01-31 17:03:42.290844217,0,35,0
5,Ex20,0,24,0,2024-01-31 17:03:43.569088855,0,23,0
6,Ex20,0,73,0,2024-01-31 17:03:44.513209175,0,45,0
7,Ex20,0,40,0,2024-01-31 17:03:45.710168674,0,49,0
8,Ex20,0,52,0,2024-01-31 17:03:46.713833350,0,74,0
9,Ex20,0,58,0,2024-01-31 17:03:47.741614927,0,94,0
10,Ex20,0,46,0,2024-01-31 17:03:48.822310448,0,74,0
11,Ex20,0,66,0,2024-01-31 17:03:49.891487876,0,39,0
12,Ex20,0,66,0,2024-01-31 17:03:50.908754483,0,46,0
13,Ex20,0,45,0,2024-01-31 17:03:51.937704132,0,42,0
14,Ex20,0,46,0,2024-01-31 17:03:52.932546220,0,70,0
15,Ex20,0,44,0,2024-01-31 17:03:53.947314363,0,42,0
16,Ex20,0,46,0,2024-01-31 17:03:54.959468385,0,50,0
17,Ex20,0,53,0,2024-01-31 17:03:55.973458961,0,50,0
18,Ex20,0,43,0,2024-01-31 17:03:56.991041396,0,45,0
19,Ex20,0,51,0,2024-01-31 17:03:57.992775355,0,49,0
20,Ex20,0,64,0,2024-01-31 17:03:59.008949299,0,63,0
21,Ex20,0,65,0,2024-01-31 17:04:00.087932258,0,39,0
22,Ex20,0,66,0,2024-01-31 17:04:01.046413873,0,63,0
23,Ex20,0,66,0,2024-01-31 17:04:02.071905444,0,41,0
24,Ex20,0,42,0,2024-01-31 17:04:03.072009599,0,152,0
25,Ex20,0,37,0,2024-01-31 17:04:04.076243864,0,62,0
26,Ex20,1,463,0,2024-01-31 17:04:05.097307200,0,71,0
27,Ex20,0,66,0,2024-01-31 17:04:06.108260001,0,64,0
28,Ex20,0,51,0,2024-01-31 17:04:07.127532167,0,72,0
29,Ex20,0,51,0,2024-01-31 17:04:08.126247691,0,49,0
30,Ex20,0,49,0,2024-01-31 17:04:09.140389630,0,52,0
31,Ex20,0,51,0,2024-01-31 17:04:10.161883391,0,72,0
32,Ex20,0,51,0,2024-01-31 17:04:11.169124563,0,47,0
33,Ex20,0,51,0,2024-01-31 17:04:12.192267151,0,44,0
34,Ex20,0,43,0,2024-01-31 17:04:13.198829407,0,39,0
35,Ex20,0,39,0,2024-01-31 17:04:14.214200748,0,45,0
36,Ex20,0,41,0,2024-01-31 17:04:15.228717359,0,66,0
37,Ex20,0,48,0,2024-01-31 17:04:16.243551577,0,72,0
38,Ex20,0,41,0,2024-01-31 17:04:17.260884316,0,52,0
39,Ex20,0,37,0,2024-01-31 17:04:18.268593186,0,41,0
40,Ex20,0,44,0,2024-01-31 17:04:19.274972772,0,46,0
41,Ex20,0,65,0,2024-01-31 17:04:20.294722660,0,47,0
42,Ex20,0,46,0,2024-01-31 17:04:21.310112913,0,65,0
43,Ex20,0,52,0,2024-01-31 17:04:22.324687812,0,49,0
