ID,SrcIP,DstIP,SrcPort,DstPort,IPVersion,Protocol,PS,IPI,FlowSizeBytes,FlowSizePackets,FS,FS(PKT),NumFrames,IFI
1,13.104.107.140,200.18.102.34,1114,59823,IP,UDP,1036.8613953329384,0.001529754622938833954001553411,545994621,526584,3050.607171791104,2.942155224914655,178979,0.004500792156639363497189598722
2,13.104.107.164,200.18.102.23,1063,58626,IP,UDP,1050.440118926522,0.001239658644928071503758010009,682589645,649813,3557.6558778307663,3.386824069006854,191865,0.004198515299555935454280115082
3,200.18.102.34,13.104.107.140,59823,1114,IP,UDP,135.85810473496244,0.01031137168604710701484895033,10613371,78121,172.6397026530247,1.2707353969777315,61477,0.01310307040331186153946255449
4,200.18.102.23,13.104.107.164,58626,1063,IP,UDP,136.94489217827544,0.007682860923660918663207691134,14358535,104849,191.29154953970772,1.396850561543278,75061,0.01073184921561417532640554223
5,200.18.102.25,224.0.1.129,320,320,IP,UDP,93.99178222907037,0.4134385253514902363823227133,183002,1947,107.58495002939448,1.144620811287478,1701,0.4732655119611764705882352941
6,34.196.233.7,200.18.102.23,443,60594,IP,TCP,209.90818363273453,0.5357419238508655126498002663,315492,1503,211.73959731543624,1.008724832214765,1490,0.5404193214398925453324378778
7,200.18.102.23,34.196.233.7,60594,443,IP,TCP,253.115625,0.3593918393845466726217061188,566979,2240,253.45507375949933,1.0013410818059902,2237,0.3598740287933810375670840787
8,200.18.102.27,224.0.1.129,319,319,IP,UDP,86.0,1.042916478810635538261997406,66392,772,66392.0,772.0,1,0
9,200.18.102.25,224.0.1.129,319,319,IP,UDP,86.0,1.028260081370843989769820972,67338,783,67338.0,783.0,1,0
10,200.18.102.34,20.189.173.5,53206,443,IP,TCP,1327.715197447148,0.3170191171911412609736632083,3328582,2507,5719.213058419244,4.3075601374570445,582,1.367383662101549053356282272
11,200.18.102.3,200.18.102.23,22,59605,IP,TCP,98.09469153515064,0.5776055269411342426417803302,136744,1394,45581.333333333336,464.6666666666667,3,91.168753145
12,20.189.173.5,200.18.102.34,443,53206,IP,TCP,64.11853720050442,0.5012644108712933753943217666,101692,1586,500.9458128078818,7.812807881773399,203,3.933188570450495049504950495
13,199.46.35.127,200.18.102.23,443,60115,IP,TCP,225.06382978723406,8.619313061763440860215053763,21156,94,516.0,2.292682926829268,41,19.038273207575
14,199.46.35.122,200.18.102.34,443,52971,IP,TCP,223.5157894736842,8.491852275978723404255319149,21234,95,517.9024390243902,2.317073170731707,41,18.955741451725
15,200.18.102.23,199.46.35.127,60115,443,IP,TCP,54.0,8.619325211462365591397849462,5076,94,5076.0,94.0,1,0
16,200.18.102.34,199.46.35.122,52971,443,IP,TCP,54.0,8.491926303414893617021276596,5130,95,5130.0,95.0,1,0
17,200.18.102.34,200.18.102.1,64475,53,IP,UDP,89.0,0,89,1,89.0,1.0,1,0
18,200.18.102.34,200.18.102.1,52863,53,IP,UDP,89.0,0,89,1,89.0,1.0,1,0
19,200.18.102.34,200.133.233.83,52863,53,IP,UDP,89.0,0,89,1,89.0,1.0,1,0
20,200.18.102.34,200.133.233.83,64475,53,IP,UDP,89.0,0,89,1,89.0,1.0,1,0
21,200.133.233.83,200.18.102.34,53,64475,IP,UDP,105.0,0,105,1,105.0,1.0,1,0
22,200.133.233.83,200.18.102.34,53,52863,IP,UDP,156.0,0,156,1,156.0,1.0,1,0
23,200.18.102.34,112.106.161.138,53510,80,IP,TCP,74.6,0.92155973525,373,5,124.33333333333333,1.6666666666666667,3,1.842004343
24,200.18.102.1,200.18.102.34,53,64475,IP,UDP,105.0,0,105,1,105.0,1.0,1,0
25,200.18.102.1,200.18.102.34,53,52863,IP,UDP,159.0,0,159,1,159.0,1.0,1,0
26,112.106.161.138,200.18.102.34,80,53510,IP,TCP,231.0,1.103512150333333333333333333,924,4,462.0,2.0,2,0.309168546
27,200.18.102.34,52.142.223.178,53508,443,IP,TCP,66.0,8.011833574,132,2,132.0,2.0,1,0
28,200.18.102.34,200.18.102.1,63597,53,IP,UDP,86.25,92.53331594828571428571428571,690,8,138.0,1.6,5,161.9333029095
29,200.18.102.1,200.18.102.34,53,63597,IP,UDP,213.625,92.536325666,1709,8,244.14285714285714,1.1428571428571428,7,107.9590466103333333333333333
30,200.18.102.34,112.106.161.138,53511,10443,IP,TCP,135.3,0.2154051847777777777777777778,1353,10,193.28571428571428,1.4285714285714286,7,0.3231077771666666666666666667
31,112.106.161.138,200.18.102.34,10443,53511,IP,TCP,588.7692307692307,2.965737505166666666666666667,7654,13,637.8333333333334,1.0833333333333333,12,3.235350005636363636363636364
32,200.18.102.23,20.189.173.8,60597,443,IP,TCP,317.75,0.7006886771333333333333333333,5084,16,423.6666666666667,1.3333333333333333,12,0.09830846663636363636363636364
33,20.189.173.8,200.18.102.23,443,60597,IP,TCP,589.7692307692307,0.858905766,7667,13,697.0,1.1818181818181819,11,0.0815993742
34,200.18.102.23,104.210.0.193,60116,443,IP,TCP,55.63333333333333,27.41733577651724137931034483,1669,30,64.1923076923077,1.1538461538461537,26,31.80410950076
35,104.210.0.193,200.18.102.23,443,60116,IP,TCP,178.76666666666668,27.41083627479310344827586207,5363,30,206.26923076923077,1.1538461538461537,26,31.79657007876
36,200.18.102.23,200.18.102.1,50855,53,IP,UDP,87.0,0,87,1,87.0,1.0,1,0
37,200.18.102.23,200.18.102.1,52573,53,IP,UDP,87.0,0,87,1,87.0,1.0,1,0
38,200.18.102.23,200.18.102.1,64624,53,IP,UDP,87.0,0,87,1,87.0,1.0,1,0
39,200.18.102.1,200.18.102.23,53,52573,IP,UDP,103.0,0,103,1,103.0,1.0,1,0
40,200.18.102.1,200.18.102.23,53,64624,IP,UDP,147.0,0,147,1,147.0,1.0,1,0
41,200.18.102.1,200.18.102.23,53,50855,IP,UDP,115.0,0,115,1,115.0,1.0,1,0
42,2801:b0:b0:116:8541:35df:ad24:b45b,2800:3f0:4001:808::200a,59067,443,IPv6,UDP,397.8,0.009535001285714285714285714286,5967,15,459.0,1.1538461538461537,13,0.01112416816666666666666666667
43,2800:3f0:4001:808::200a,2801:b0:b0:116:8541:35df:ad24:b45b,443,59067,IPv6,UDP,738.8888888888889,0.007073056117647058823529411765,13300,18,950.0,1.2857142857142858,14,0.009249381076923076923076923077
44,2801:b0:b0:116:8541:35df:ad24:b45b,2800:3f0:4001:808::200a,60598,443,IPv6,TCP,151.44444444444446,0.402210382125,1363,9,272.6,1.8,5,0.06980413125
45,2800:3f0:4001:808::200a,2801:b0:b0:116:8541:35df:ad24:b45b,443,60598,IPv6,TCP,805.375,0.4575720665714285714285714286,6443,8,1073.8333333333333,1.3333333333333333,6,0.6406008932
46,200.18.102.34,20.241.33.111,52936,443,IP,TCP,530.1132075471698,15.00050110109615384615384615,28096,53,530.1132075471698,1.0,53,15.00050110109615384615384615
47,20.241.33.111,200.18.102.34,443,52936,IP,TCP,169.26415094339623,15.00048872261538461538461538,8971,53,332.25925925925924,1.962962962962963,27,30.00097744523076923076923077
48,200.18.102.23,200.18.102.1,56745,53,IP,UDP,71.0,0,71,1,71.0,1.0,1,0
49,200.18.102.23,200.18.102.1,49491,53,IP,UDP,71.0,0,71,1,71.0,1.0,1,0
50,200.18.102.1,200.18.102.23,53,49491,IP,UDP,251.0,0,251,1,251.0,1.0,1,0
51,200.18.102.23,200.133.233.83,56745,53,IP,UDP,71.0,0,71,1,71.0,1.0,1,0
52,200.18.102.1,200.18.102.23,53,56745,IP,UDP,188.0,0,188,1,188.0,1.0,1,0
53,200.18.102.23,200.133.233.83,49491,53,IP,UDP,71.0,0,71,1,71.0,1.0,1,0
54,200.133.233.83,200.18.102.23,53,56745,IP,UDP,195.0,0,195,1,195.0,1.0,1,0
55,200.133.233.83,200.18.102.23,53,49491,IP,UDP,249.0,0,249,1,249.0,1.0,1,0
56,200.18.102.23,20.75.60.91,60599,443,IP,TCP,123.82857142857142,1.102854703647058823529411765,4334,35,394.0,3.1818181818181817,11,0.8598551135
57,20.75.60.91,200.18.102.23,443,60599,IP,TCP,2247.714285714286,0.6615382213076923076923076923,31468,14,2420.6153846153848,1.0769230769230769,13,0.7166664064166666666666666667
58,200.18.102.17,239.255.255.250,49631,1900,IP,UDP,217.0,1.004002953333333333333333333,868,4,868.0,4.0,1,0
59,200.18.102.23,200.18.102.1,63266,53,IP,UDP,96.0,0,96,1,96.0,1.0,1,0
60,200.18.102.23,200.18.102.1,63368,53,IP,UDP,96.0,0,96,1,96.0,1.0,1,0
61,200.18.102.23,200.18.102.1,55272,53,IP,UDP,96.0,0,96,1,96.0,1.0,1,0
62,200.18.102.1,200.18.102.23,53,63368,IP,UDP,205.0,0,205,1,205.0,1.0,1,0
63,200.18.102.1,200.18.102.23,53,55272,IP,UDP,277.0,0,277,1,277.0,1.0,1,0
64,200.18.102.1,200.18.102.23,53,63266,IP,UDP,277.0,0,277,1,277.0,1.0,1,0
65,200.18.102.23,4.151.113.44,60600,443,IP,TCP,220.78571428571428,0.7524586713076923076923076923,3091,14,343.44444444444446,1.5555555555555556,9,0.058355885
66,4.151.113.44,200.18.102.23,443,60600,IP,TCP,439.15384615384613,0.8029635615,5709,13,570.9,1.3,10,0.05470603766666666666666666667
