,ID,downlink deq_qdepth,downlink deq_timedelta,downlink enq_qdepth,time,uplink deq_qdepth,uplink deq_timedelta,uplink enq_qdepth
0,Ex23,0,51,0,2024-02-26 18:45:54.931227538,0,84,0
1,Ex23,0,41,0,2024-02-26 18:45:55.394315391,0,42,0
2,Ex23,0,40,0,2024-02-26 18:45:56.409493419,0,48,0
3,Ex23,0,43,0,2024-02-26 18:45:57.439746798,0,61,0
4,Ex23,0,39,0,2024-02-26 18:45:58.472690176,0,64,0
5,Ex23,0,40,0,2024-02-26 18:45:59.491317422,0,102,0
6,Ex23,0,44,0,2024-02-26 18:46:00.718368966,0,60,0
7,Ex23,0,44,0,2024-02-26 18:46:01.621920930,0,60,0
8,Ex23,0,40,0,2024-02-26 18:46:02.608455165,0,42,0
9,Ex23,0,48,0,2024-02-26 18:46:03.625034908,0,151,0
10,Ex23,0,62,0,2024-02-26 18:46:04.647342876,0,62,0
11,Ex23,0,43,0,2024-02-26 18:46:05.702164972,0,62,0
12,Ex23,0,62,0,2024-02-26 18:46:06.822956952,0,63,0
13,Ex23,0,59,0,2024-02-26 18:46:07.882415693,0,36,0
14,Ex23,0,36,0,2024-02-26 18:46:08.982711756,0,60,0
15,Ex23,0,37,0,2024-02-26 18:46:10.057843175,0,56,0
16,Ex23,0,40,0,2024-02-26 18:46:11.042036047,0,67,0
17,Ex23,0,42,0,2024-02-26 18:46:12.070705876,0,44,0
18,Ex23,0,30,0,2024-02-26 18:46:13.083199957,0,42,0
19,Ex23,0,50,0,2024-02-26 18:46:14.098496014,0,75,0
20,Ex23,0,21,0,2024-02-26 18:46:15.128019545,0,51,0
21,Ex23,0,33,0,2024-02-26 18:46:16.156431330,0,33,0
22,Ex23,0,26,0,2024-02-26 18:46:17.409880837,0,33,0
23,Ex23,0,45,0,2024-02-26 18:46:18.371718088,0,42,0
24,Ex23,0,36,0,2024-02-26 18:46:20.056842733,1,231,0
25,Ex23,0,39,0,2024-02-26 18:46:21.395719909,0,249,0
26,Ex23,0,42,0,2024-02-26 18:46:22.177420906,0,66,0
27,Ex23,0,63,0,2024-02-26 18:46:23.181181780,0,41,0
28,Ex23,0,55,0,2024-02-26 18:46:24.230751935,0,57,0
29,Ex23,0,42,0,2024-02-26 18:46:25.244722250,0,42,0
30,Ex23,0,57,0,2024-02-26 18:46:26.248273652,0,53,0
31,Ex23,0,57,0,2024-02-26 18:46:27.279513343,0,39,0
32,Ex23,0,57,0,2024-02-26 18:46:28.318457533,0,40,0
33,Ex23,0,45,0,2024-02-26 18:46:29.329028675,0,162,0
34,Ex23,0,42,0,2024-02-26 18:46:30.348890427,0,43,0
35,Ex23,0,41,0,2024-02-26 18:46:31.373818283,0,38,0
36,Ex23,0,37,0,2024-02-26 18:46:32.442361911,0,37,0
37,Ex23,0,52,0,2024-02-26 18:46:33.410966465,0,71,0
38,Ex23,0,49,0,2024-02-26 18:46:34.429786193,0,49,0
39,Ex23,0,119,0,2024-02-26 18:46:35.441823031,0,49,0
40,Ex23,0,45,0,2024-02-26 18:46:36.449264961,0,42,0
41,Ex23,0,64,0,2024-02-26 18:46:37.475553494,0,42,0
42,Ex23,0,50,0,2024-02-26 18:46:38.478863717,0,74,0
43,Ex23,0,40,0,2024-02-26 18:46:39.479066548,0,64,0
44,Ex23,0,159,0,2024-02-26 18:46:40.501752016,0,72,0
45,Ex23,0,55,0,2024-02-26 18:46:41.516389195,0,86,0
46,Ex23,0,75,0,2024-02-26 18:46:42.532189886,0,76,0
