ID,SrcIP,DstIP,SrcPort,DstPort,IPVersion,Protocol,PS,IPI,FlowSizeBytes,FlowSizePackets,FS,FS(PKT),NumFrames,IFI
1,13.104.104.166,200.18.102.12,1111,59623,IP,UDP,1031.6582675157724,0.001334090430729138099974651307,695948414,674592,3190.3896781410017,3.092486900554234,218139,0.004125669978435669163557014367
2,200.18.102.12,13.104.104.166,59623,1111,IP,UDP,136.84450580457917,0.009069151624855135995807761687,13579354,99232,181.78519410977242,1.3284069611780456,74700,0.01204756402208864911176856451
3,200.18.102.25,224.0.1.129,319,319,IP,UDP,86.0,1.000079300417130144605116796,77400,900,77400.0,900.0,1,0
4,200.18.102.25,224.0.1.129,320,320,IP,UDP,94.00177619893428,0.3994097009515770768547312306,211692,2252,109.96987012987013,1.16987012987013,1925,0.4672927426413721413721413721
5,13.69.116.104,200.18.102.12,443,23227,IP,TCP,60.0,0,60,1,60.0,1.0,1,0
6,200.18.102.12,13.69.116.104,23227,443,IP,TCP,54.0,0,54,1,54.0,1.0,1,0
7,13.69.116.104,200.18.102.12,443,23228,IP,TCP,60.0,0,60,1,60.0,1.0,1,0
8,2801:b0:b0:116:18e4:824d:57a0:2b,2800:3f0:4001:81b::200a,63610,443,IPv6,UDP,100.38993710691824,1.102051231955696202531645570,15962,159,290.2181818181818,2.890909090909091,55,3.217820577129629629629629630
9,2800:3f0:4001:81b::200a,2801:b0:b0:116:18e4:824d:57a0:2b,443,63610,IPv6,UDP,95.16666666666667,1.082292213913043478260869565,15417,162,248.66129032258064,2.6129032258064515,62,2.854455769
10,200.18.102.12,34.196.233.7,23226,443,IP,TCP,260.4272373540856,0.3446385979030751265083690152,669298,2570,262.7789556340793,1.0090302316450726,2547,0.3476524972890809112333071485
11,200.18.102.3,200.18.102.12,22,22711,IP,TCP,98.51764705882353,0.5292121302519128899352560330,167480,1700,6978.333333333333,70.83333333333333,24,38.35068702482608695652173913
12,34.196.233.7,200.18.102.12,443,23226,IP,TCP,205.73237090505276,0.4917346211677777777777777778,370524,1801,214.54777070063693,1.0428488708743486,1727,0.5128171020289687137891077636
13,200.18.102.27,224.0.1.129,319,319,IP,UDP,86.0,0.9961140542486126526082130966,77572,902,77572.0,902.0,1,0
14,fe80::a77:23c6:e5b8:5768,ff02::c,53036,3702,IPv6,UDP,718.0,47.59165528661538461538461538,10052,14,10052.0,14.0,1,0
15,200.18.102.12,239.255.255.250,53035,3702,IP,UDP,698.0,47.46933948838461538461538462,9772,14,9772.0,14.0,1,0
16,200.18.102.17,239.255.255.250,49379,1900,IP,UDP,217.0,1.008695850666666666666666667,868,4,868.0,4.0,1,0
