,ID,downlink deq_qdepth,downlink deq_timedelta,downlink enq_qdepth,time,uplink deq_qdepth,uplink deq_timedelta,uplink enq_qdepth
0,Ex11,0,21,0,2024-01-16 16:40:11.896112154,0,278,0
1,Ex11,1,2548,5,2024-01-16 16:40:12.437669979,0,118,0
2,Ex11,0,22,0,2024-01-16 16:40:13.388517418,0,28,0
3,Ex11,0,2995,5,2024-01-16 16:40:14.408763253,0,37,0
4,Ex11,0,22,0,2024-01-16 16:40:15.427074837,0,23,0
5,Ex11,3,612,2,2024-01-16 16:40:17.095401934,0,44,0
6,Ex11,0,22,0,2024-01-16 16:40:18.118163111,0,33,0
7,Ex11,0,3214,6,2024-01-16 16:40:19.190449015,0,24,0
8,Ex11,0,24,0,2024-01-16 16:40:20.250637024,0,23,0
9,Ex11,14,1796,3,2024-01-16 16:40:21.318698151,0,425,0
10,Ex11,0,23,0,2024-01-16 16:40:22.624838267,0,22,0
11,Ex11,0,39,0,2024-01-16 16:40:23.629830012,0,40,0
12,Ex11,0,9032,18,2024-01-16 16:40:24.670672479,0,43,0
13,Ex11,0,24,0,2024-01-16 16:40:25.664799909,0,22,0
14,Ex11,1,5810,11,2024-01-16 16:40:26.695173295,0,23,0
15,Ex11,29,10195,20,2024-01-16 16:40:27.746620546,0,36,0
16,Ex11,0,22,0,2024-01-16 16:40:28.752209680,0,22,0
17,Ex11,0,37,0,2024-01-16 16:40:29.761934975,0,57,0
18,Ex11,0,24,0,2024-01-16 16:40:30.897353517,0,24,0
19,Ex11,0,25,0,2024-01-16 16:40:31.890444850,0,24,0
20,Ex11,0,25,0,2024-01-16 16:40:32.918889056,0,23,0
21,Ex11,0,22,0,2024-01-16 16:40:33.923611078,0,29,0
22,Ex11,0,24,0,2024-01-16 16:40:34.934905656,0,34,0
23,Ex11,0,51,0,2024-01-16 16:40:35.958776759,0,50,0
24,Ex11,0,2272,4,2024-01-16 16:40:36.990012449,0,21,0
25,Ex11,0,22,0,2024-01-16 16:40:38.016865317,0,23,0
26,Ex11,0,24,0,2024-01-16 16:40:38.993537340,0,24,0
27,Ex11,0,36,0,2024-01-16 16:40:40.061722990,0,22,0
28,Ex11,0,24,0,2024-01-16 16:40:41.024925418,0,21,0
29,Ex11,11,4703,9,2024-01-16 16:40:42.236924745,0,24,0
30,Ex11,0,34,0,2024-01-16 16:40:43.059353727,0,33,0
31,Ex11,0,25,0,2024-01-16 16:40:44.065085049,0,21,0
32,Ex11,0,35,0,2024-01-16 16:40:45.084608122,0,290,0
33,Ex11,19,9553,19,2024-01-16 16:40:46.168387652,0,42,0
34,Ex11,0,73,0,2024-01-16 16:40:47.129872847,0,71,0
35,Ex11,0,49,0,2024-01-16 16:40:48.134129938,0,72,0
36,Ex11,0,54,0,2024-01-16 16:40:49.158890681,0,72,0
37,Ex11,0,76,0,2024-01-16 16:40:50.165101804,0,47,0
38,Ex11,0,64,0,2024-01-16 16:40:51.178594888,0,66,0
39,Ex11,0,45,0,2024-01-16 16:40:52.187876822,0,48,0
40,Ex11,0,65,0,2024-01-16 16:40:53.219937341,0,41,0
41,Ex11,0,65,0,2024-01-16 16:40:54.230836643,0,63,0
42,Ex11,0,47,0,2024-01-16 16:40:55.243996169,0,44,0
43,Ex11,0,57,0,2024-01-16 16:40:56.250288555,0,58,0
44,Ex11,0,51,0,2024-01-16 16:40:57.265015043,0,66,0
45,Ex11,0,54,0,2024-01-16 16:40:58.511226601,0,79,0
46,Ex11,0,63,0,2024-01-16 16:40:59.288072355,0,62,0
47,Ex11,0,45,0,2024-01-16 16:41:00.476501508,0,43,0
48,Ex11,0,52,0,2024-01-16 16:41:01.320716179,0,48,0
49,Ex11,0,27,0,2024-01-16 16:41:02.378155628,0,32,0
50,Ex11,0,23,0,2024-01-16 16:41:03.356302042,0,35,0
51,Ex11,0,22,0,2024-01-16 16:41:04.382455440,0,35,0
52,Ex11,0,23,0,2024-01-16 16:41:05.393358448,0,23,0
53,Ex11,0,25,0,2024-01-16 16:41:06.423182810,0,22,0
54,Ex11,0,65,0,2024-01-16 16:41:07.426474688,0,39,0
