ID,SrcIP,DstIP,SrcPort,DstPort,IPVersion,Protocol,PS,IPI,FlowSizeBytes,FlowSizePackets,FS,FS(PKT),NumFrames,IFI
1,13.104.106.26,200.18.102.4,1026,64815,IP,UDP,1042.5470344892797,0.001103504066791270581709069820,661543008,634545,3484.5012088299895,3.3422964082737696,189853,0.003688251291953732381012578219
2,13.104.105.116,200.18.102.29,1072,52788,IP,UDP,1029.621233333876,0.001899855361921093116200574667,379479261,368562,3181.469013564949,3.089941145894465,119278,0.005870425689646788567787586878
3,200.18.102.29,13.104.105.116,52788,1072,IP,UDP,129.09055821735492,0.01331328906945527141363247457,6789647,52596,146.37907468092445,1.13392549154881,46384,0.01509631629277968221115494901
4,200.18.102.4,13.104.106.26,64815,1026,IP,UDP,136.50462374545296,0.007672058949510776074594322154,12458504,91268,168.6727139801251,1.2356556822181908,73862,0.009480047713204532838710550900
5,200.18.102.4,34.196.233.7,9220,443,IP,TCP,254.08366533864543,0.3485022951753861484803188839,510200,2008,254.3369890329013,1.0009970089730809,2006,0.3488499283875311720698254364
6,200.18.102.25,224.0.1.129,319,319,IP,UDP,86.0,1.008776879533910533910533911,59684,694,59684.0,694.0,1,0
7,200.18.102.25,224.0.1.129,320,320,IP,UDP,93.97674418604652,0.4068901873269342641070389761,161640,1720,106.97551290536069,1.1383189940436798,1511,0.4632081006721854304635761589
8,104.210.1.104,200.18.102.29,443,56214,IP,TCP,178.36363636363637,31.42944913219047619047619048,3924,22,186.85714285714286,1.0476190476190477,21,30.012907118
9,200.18.102.29,104.210.1.104,56214,443,IP,TCP,54.45454545454545,31.42981351552380952380952381,1198,22,57.04761904761905,1.0476190476190477,21,30.0132730331
10,34.196.233.7,200.18.102.4,443,9220,IP,TCP,209.68070953436808,0.5171874972618343195266272189,283698,1353,210.77117384843982,1.0052005943536404,1346,0.5198791794037174721189591078
11,200.18.102.3,200.18.102.4,22,5153,IP,TCP,98.0701754385965,0.5581168450965682362330407023,122980,1254,24596.0,250.8,5,166.1419097055
12,2801:b0:b0:116:fda9:d4a3:9112:1aff,2800:3f0:4003:c01::bc,9110,5228,IPv6,TCP,76.41176470588235,42.181804742625,1299,17,324.75,4.25,4,134.799016484
13,2800:3f0:4003:c01::bc,2801:b0:b0:116:fda9:d4a3:9112:1aff,5228,9110,IPv6,TCP,86.11764705882354,42.182144605875,1464,17,488.0,5.666666666666667,3,202.200757866
14,200.18.102.27,224.0.1.129,319,319,IP,UDP,86.0,1.028036181608247422680412371,58480,680,58480.0,680.0,1,0
15,200.18.102.4,20.189.173.5,9017,443,IP,TCP,310.0,0.9920323781428571428571428571,2480,8,354.2857142857143,1.1428571428571428,7,1.124968256333333333333333333
16,20.189.173.5,200.18.102.4,443,9017,IP,TCP,83.66666666666667,1.350217644,502,6,100.4,1.2,5,0.1310799655
17,20.127.250.238,200.18.102.29,443,55805,IP,TCP,76.25,30.01910078282608695652173913,1830,24,152.5,2.0,12,54.55718675736363636363636364
18,200.18.102.29,20.127.250.238,55805,443,IP,TCP,76.66666666666667,40.60592177923529411764705882,1380,18,115.0,1.5,12,58.64767692836363636363636364
19,200.18.102.17,239.255.255.250,50348,1900,IP,UDP,217.0,1.006571991333333333333333333,868,4,868.0,4.0,1,0
20,199.46.35.122,200.18.102.4,443,8094,IP,TCP,78.0,9.9124517289,5538,71,5538.0,71.0,1,0
21,200.18.102.4,199.46.35.122,8094,443,IP,TCP,54.0,10.05595823866666666666666667,3780,70,3780.0,70.0,1,0
22,199.46.35.120,200.18.102.29,443,56197,IP,TCP,167.96103896103895,9.037824630184210526315789474,12933,77,808.3125,4.8125,16,31.77778565246666666666666667
23,199.46.35.126,200.18.102.29,443,56481,IP,TCP,169.1184210526316,9.156546142653333333333333333,12853,76,856.8666666666667,5.066666666666666,15,34.04795446021428571428571429
24,200.18.102.29,199.46.35.126,56481,443,IP,TCP,54.146341463414636,8.478271825432098765432098765,4440,82,4440.0,82.0,1,0
25,200.18.102.29,199.46.35.120,56197,443,IP,TCP,54.0,9.282144886229729729729729730,4050,75,4050.0,75.0,1,0
26,200.18.102.29,104.210.1.98,56483,443,IP,TCP,74.1923076923077,27.60216178648,1929,26,87.68181818181819,1.1818181818181819,22,32.85971641247619047619047619
27,104.210.1.98,200.18.102.29,443,56483,IP,TCP,149.69230769230768,27.5949093468,3892,26,176.9090909090909,1.1818181818181819,22,32.85108255571428571428571429
28,200.18.102.20,224.0.0.251,5353,5353,IP,UDP,96.09243134628265,0.4568445197486595174262734584,143466,1493,20495.14285714286,213.28571428571428,7,32.89356602616666666666666667
29,fe80::9c42:65ff:fe6e:d52e,ff02::fb,5353,5353,IPv6,UDP,116.0,0.4639977330367597004765146358,170520,1470,170520.0,1470.0,1,0
30,200.18.102.29,52.226.139.185,55188,443,IP,TCP,75.9375,21.78577101638709677419354839,2430,32,75.9375,1.0,32,21.78577101638709677419354839
31,52.226.139.185,200.18.102.29,443,55188,IP,TCP,228.875,45.01157623246666666666666667,3662,16,1831.0,8.0,2,90.016362131
32,162.159.133.234,200.18.102.4,443,9202,IP,TCP,160.76923076923077,2.172519002421052631578947368,6270,39,190.0,1.1818181818181819,33,2.579237364375
33,200.18.102.4,162.159.133.234,9202,443,IP,TCP,56.27272727272727,2.57802975084375,1857,33,371.4,6.6,5,20.623977266
34,104.210.0.193,200.18.102.4,443,8067,IP,TCP,173.47826086956522,30.00063192736363636363636364,3990,23,173.47826086956522,1.0,23,30.00063192736363636363636364
35,200.18.102.4,104.210.0.193,8067,443,IP,TCP,54.47826086956522,30.00077351259090909090909091,1253,23,54.47826086956522,1.0,23,30.00077351259090909090909091
36,200.18.102.4,20.241.33.111,9033,443,IP,TCP,54.0,0.146420671,108,2,108.0,2.0,1,0
37,20.241.33.111,200.18.102.4,443,9033,IP,TCP,60.0,0,60,1,60.0,1.0,1,0
38,200.18.102.29,20.189.173.4,56045,443,IP,TCP,1309.292479108635,0.3137297288555503947979563400,2820216,2154,5540.699410609037,4.231827111984283,509,1.329645878397637795275590551
39,20.189.173.4,200.18.102.29,443,56045,IP,TCP,65.23011363636364,0.4801162932224591329068941009,91844,1408,437.35238095238094,6.704761904761905,210,3.232170452459330143540669856
40,2801:b0:b0:116:3cc1:4de0:311c:e239,2620:1ec:c11::239,56534,443,IPv6,TCP,75.0,0,75,1,75.0,1.0,1,0
41,2620:1ec:c11::239,2801:b0:b0:116:3cc1:4de0:311c:e239,443,56534,IPv6,TCP,80.0,34.472161355,160,2,160.0,2.0,1,0
42,2801:b0:b0:116:3cc1:4de0:311c:e239,2620:1ec:c11::239,56536,443,IPv6,TCP,75.0,0,75,1,75.0,1.0,1,0
