,ID,downlink deq_qdepth,downlink deq_timedelta,downlink enq_qdepth,time,uplink deq_qdepth,uplink deq_timedelta,uplink enq_qdepth
0,Ex17,0,40,0,2024-01-24 18:26:40.920543691,0,56,0
1,Ex17,0,99,0,2024-01-24 18:26:41.148189590,0,76,0
2,Ex17,0,34,0,2024-01-24 18:26:42.181558541,0,33,0
3,Ex17,0,1065,2,2024-01-24 18:26:46.384649681,0,24,0
4,Ex17,0,25,0,2024-01-24 18:26:46.579760307,0,34,0
5,Ex17,0,124,0,2024-01-24 18:26:46.774527592,1,786,1
6,Ex17,0,42,0,2024-01-24 18:26:47.410573209,0,49,0
7,Ex17,0,40,0,2024-01-24 18:26:48.430409228,0,37,0
8,Ex17,0,625,1,2024-01-24 18:26:49.443865030,0,60,0
9,Ex17,0,51,0,2024-01-24 18:26:50.455918296,0,54,0
10,Ex17,1,326,0,2024-01-24 18:26:51.498396987,0,249,0
11,Ex17,0,45,0,2024-01-24 18:26:52.504341322,0,43,0
12,Ex17,0,47,0,2024-01-24 18:26:53.517034036,0,67,0
13,Ex17,0,136,0,2024-01-24 18:26:55.445892023,0,42,0
14,Ex17,0,42,0,2024-01-24 18:26:56.721733318,0,62,0
15,Ex17,0,49,0,2024-01-24 18:26:57.718234122,0,70,0
16,Ex17,0,44,0,2024-01-24 18:26:58.737460592,0,40,0
17,Ex17,0,41,0,2024-01-24 18:26:59.750036878,0,55,0
18,Ex17,0,33,0,2024-01-24 18:27:00.770818574,0,22,0
19,Ex17,0,4321,8,2024-01-24 18:27:01.783938438,0,26,0
20,Ex17,0,28,0,2024-01-24 18:27:02.802219431,0,33,0
21,Ex17,18,5496,10,2024-01-24 18:27:03.806134458,0,344,0
22,Ex17,60,29026,58,2024-01-24 18:27:04.824820488,0,24,0
23,Ex17,0,22,0,2024-01-24 18:27:05.849210983,0,22,0
24,Ex17,2,7120,14,2024-01-24 18:27:06.864064351,0,22,0
25,Ex17,4,2159,4,2024-01-24 18:27:07.879099425,0,37,0
26,Ex17,45,22103,44,2024-01-24 18:27:08.901975376,0,31,0
27,Ex17,47,11942,23,2024-01-24 18:27:09.921968386,0,22,0
28,Ex17,0,23,0,2024-01-24 18:27:10.954348085,0,52,0
29,Ex17,0,5187,10,2024-01-24 18:27:11.975870149,0,411,0
30,Ex17,28,10119,20,2024-01-24 18:27:13.007332061,0,27,0
31,Ex17,11,11185,22,2024-01-24 18:27:14.020311288,0,40,0
32,Ex17,37,15265,30,2024-01-24 18:27:15.070547495,1,470,0
33,Ex17,1,5984,12,2024-01-24 18:27:16.075121345,1,323,0
34,Ex17,2,13357,26,2024-01-24 18:27:17.102081418,3,390,0
35,Ex17,1,1578,3,2024-01-24 18:27:18.121439724,0,374,0
36,Ex17,44,20784,41,2024-01-24 18:27:19.148219924,0,34,0
37,Ex17,7,8793,17,2024-01-24 18:27:20.158448182,0,21,0
38,Ex17,63,28685,57,2024-01-24 18:27:21.163540795,1,453,0
39,Ex17,63,27765,55,2024-01-24 18:27:22.185984182,0,121,0
40,Ex17,0,24,0,2024-01-24 18:27:23.188548793,0,33,0
41,Ex17,2,7845,15,2024-01-24 18:27:24.215896996,0,284,0
42,Ex17,0,802,1,2024-01-24 18:27:25.232642983,0,35,0
43,Ex17,16,19367,38,2024-01-24 18:27:26.259104449,0,26,0
44,Ex17,63,31278,62,2024-01-24 18:27:27.268721480,0,319,0
45,Ex17,14,15749,31,2024-01-24 18:27:28.279158672,0,22,0
46,Ex17,60,25505,50,2024-01-24 18:27:29.314384865,0,819,1
47,Ex17,6,5015,10,2024-01-24 18:27:30.336185863,0,22,0
48,Ex17,5,4244,8,2024-01-24 18:27:33.386682643,0,21,0
49,Ex17,16,4722,9,2024-01-24 18:27:33.581297936,0,25,0
50,Ex17,8,6649,13,2024-01-24 18:27:33.784263908,0,38,0
51,Ex17,19,5066,10,2024-01-24 18:27:34.414535120,1,609,1
52,Ex17,6,9057,18,2024-01-24 18:27:35.451915452,0,40,0
53,Ex17,0,1252,3,2024-01-24 18:27:36.480001865,0,44,0
54,Ex17,4,6373,12,2024-01-24 18:27:37.519409065,0,38,0
55,Ex17,18,7612,15,2024-01-24 18:27:38.537071865,0,41,0
56,Ex17,5,1718,3,2024-01-24 18:27:39.550618376,0,36,0
57,Ex17,41,21219,42,2024-01-24 18:27:40.586225924,0,25,0
58,Ex17,0,209,0,2024-01-24 18:27:41.612925008,0,37,0
59,Ex17,25,4857,9,2024-01-24 18:27:42.644642493,0,27,0
60,Ex17,0,319,0,2024-01-24 18:27:43.651393558,0,36,0
61,Ex17,32,16084,31,2024-01-24 18:27:44.687295320,0,34,0
62,Ex17,51,22435,44,2024-01-24 18:27:45.708582683,0,24,0
63,Ex17,55,30857,61,2024-01-24 18:27:46.710655537,0,26,0
64,Ex17,63,29322,58,2024-01-24 18:27:47.719195837,1,1303,2
65,Ex17,0,22,0,2024-01-24 18:27:48.751080805,0,33,0
66,Ex17,18,3575,7,2024-01-24 18:27:49.754765852,0,940,1
67,Ex17,6,3692,7,2024-01-24 18:27:50.793351399,2,406,0
68,Ex17,2,7017,14,2024-01-24 18:27:51.828574764,0,330,0
69,Ex17,61,23087,46,2024-01-24 18:27:52.947743379,0,36,0
70,Ex17,12,4363,8,2024-01-24 18:27:53.887349293,0,40,0
71,Ex17,0,3743,7,2024-01-24 18:27:54.913451499,0,269,0
72,Ex17,15,6335,12,2024-01-24 18:27:55.940154445,0,30,0
73,Ex17,14,6659,13,2024-01-24 18:27:56.953147262,0,24,0
74,Ex17,18,4669,9,2024-01-24 18:27:57.985741600,0,59,0
75,Ex17,3,2882,5,2024-01-24 18:27:59.002300107,0,34,0
76,Ex17,0,23,0,2024-01-24 18:28:00.072601162,1,190,0
77,Ex17,1,12062,24,2024-01-24 18:28:01.082947307,0,24,0
78,Ex17,3,12061,24,2024-01-24 18:28:02.103570923,0,23,0
79,Ex17,15,9066,18,2024-01-24 18:28:03.119369189,0,34,0
80,Ex17,16,7632,15,2024-01-24 18:28:04.150404362,0,40,0
81,Ex17,41,22135,44,2024-01-24 18:28:05.184127499,0,23,0
82,Ex17,15,2629,5,2024-01-24 18:28:06.208998443,0,23,0
83,Ex17,7,889,1,2024-01-24 18:28:07.223629893,0,45,0
84,Ex17,7,4786,9,2024-01-24 18:28:08.248808881,0,25,0
85,Ex17,3,462,0,2024-01-24 18:28:09.270402208,0,37,0
86,Ex17,24,11451,22,2024-01-24 18:28:13.347993498,0,39,0
87,Ex17,5,738,1,2024-01-24 18:28:13.533057908,0,243,0
88,Ex17,16,4094,8,2024-01-24 18:28:13.714146790,0,21,0
89,Ex17,7,3044,6,2024-01-24 18:28:13.886429275,0,35,0
90,Ex17,1,2288,4,2024-01-24 18:28:14.377429266,0,21,0
91,Ex17,2,855,1,2024-01-24 18:28:15.406893519,0,23,0
92,Ex17,0,22,0,2024-01-24 18:28:16.425573390,0,20,0
