ID,SrcIP,DstIP,SrcPort,DstPort,IPVersion,Protocol,PS,IPI,FlowSizeBytes,FlowSizePackets,FS,FS(PKT),NumFrames,IFI
1,13.104.106.18,200.18.102.4,1099,58970,IP,UDP,976.0615026208503,0.003083784461874205605555536522,284902592,291890,2257.959786648914,2.313337613035656,126177,0.007133866684567588130864823738
2,200.18.102.4,13.104.106.18,58970,1099,IP,UDP,127.46261255653762,0.01867516696723862481067286346,6143443,48198,165.44875040396423,1.298017882150167,37132,0.02424085056475721095580512240
3,200.18.102.4,34.196.233.7,53887,443,IP,TCP,254.18488023952096,0.3350665830014975664545114189,679182,2672,255.5237020316027,1.0052671181339352,2658,0.3364919380278509597290176891
4,200.18.102.25,224.0.1.129,320,320,IP,UDP,93.99017418490398,0.4020200799088471849865951743,210444,2239,107.47906026557712,1.1435137895812053,1958,0.4597449866305569749616760347
5,200.18.102.27,224.0.1.129,319,319,IP,UDP,86.0,1.013048018738738738738738739,76454,889,76454.0,889.0,1,0
6,34.196.233.7,200.18.102.4,443,53887,IP,TCP,207.75577557755776,0.4924647952107870115575123830,377700,1818,213.02876480541454,1.0253807106598984,1773,0.5049709553600451467268623025
7,200.18.102.3,200.18.102.4,22,53832,IP,TCP,98.07428249859313,0.5063946737815315315315315315,174278,1777,15843.454545454546,161.54545454545453,11,82.6556527754
8,200.18.102.25,224.0.1.129,319,319,IP,UDP,86.0,1.000116119510567296996662959,77400,900,77400.0,900.0,1,0
9,2801:b0:b0:116:d418:7717:eb06:1d43,2800:3f0:4001:82d::200e,63143,443,IPv6,UDP,109.03482587064677,1.584630722615,21916,201,413.50943396226415,3.792452830188679,53,6.094733548519230769230769231
10,2800:3f0:4001:82d::200e,2801:b0:b0:116:d418:7717:eb06:1d43,443,63143,IPv6,UDP,114.5673076923077,1.531060343700483091787439614,23830,208,345.3623188405797,3.0144927536231885,69,4.660727810970588235294117647
11,200.18.102.20,200.18.102.127,57621,57621,IP,UDP,82.0,61.7666056346,492,6,492.0,6.0,1,0
12,200.18.102.4,20.42.73.26,53888,443,IP,TCP,54.0,0.131701033,108,2,108.0,2.0,1,0
13,20.42.73.26,200.18.102.4,443,53888,IP,TCP,60.0,0,60,1,60.0,1.0,1,0
14,200.18.102.20,224.0.0.251,5353,5353,IP,UDP,96.07097615499255,0.1644476082185578535494689771,515709,5368,28650.5,298.22222222222223,18,18.10553733047058823529411765
15,fe80::9c42:65ff:fe6e:d52e,ff02::fb,5353,5353,IPv6,UDP,115.998320268757,0.1647547742576068695165204405,621519,5358,207173.0,1786.0,3,44.8935551315
16,2800:3f0:4001:831::200a,2801:b0:b0:116:d418:7717:eb06:1d43,443,59295,IPv6,UDP,95.71209213051823,1.698950324484615384615384615,49866,521,236.33175355450237,2.4691943127962084,211,4.206924613009523809523809524
17,2801:b0:b0:116:d418:7717:eb06:1d43,2800:3f0:4001:831::200a,59295,443,IPv6,UDP,105.24395161290323,1.784716093331313131313131313,52201,496,348.00666666666666,3.3066666666666666,150,5.929090377174496644295302013
18,200.18.102.4,20.42.73.26,53889,443,IP,TCP,331.53333333333336,0.6242623007857142857142857143,4973,15,414.4166666666667,1.25,12,0.08184406154545454545454545455
19,20.42.73.26,200.18.102.4,443,53889,IP,TCP,552.5,0.6598970623076923076923076923,7735,14,703.1818181818181,1.2727272727272727,11,0.0712894178
20,199.46.35.126,200.18.102.4,443,53759,IP,TCP,78.0,10.02208830056179775280898876,7020,90,7020.0,90.0,1,0
21,200.18.102.4,199.46.35.126,53759,443,IP,TCP,54.0,10.02092556994382022471910112,4860,90,4860.0,90.0,1,0
