,ID,downlink deq_qdepth,downlink deq_timedelta,downlink enq_qdepth,time,uplink deq_qdepth,uplink deq_timedelta,uplink enq_qdepth
0,Ex24,0,46,0,2024-02-27 19:40:16.357722207,0,44,0
1,Ex24,0,51,0,2024-02-27 19:40:17.702602516,0,314,0
2,Ex24,0,67,0,2024-02-27 19:40:18.646372774,0,72,0
3,Ex24,0,35,0,2024-02-27 19:40:19.679254459,0,27,0
4,Ex24,0,45,0,2024-02-27 19:40:21.219631876,0,215,0
5,Ex24,0,25,0,2024-02-27 19:40:22.477238143,0,23,0
6,Ex24,0,26,0,2024-02-27 19:40:23.485097818,0,27,0
7,Ex24,0,45,0,2024-02-27 19:40:24.514592502,0,47,0
8,Ex24,0,36,0,2024-02-27 19:40:25.548600713,0,39,0
9,Ex24,0,25,0,2024-02-27 19:40:26.560884212,0,34,0
10,Ex24,0,25,0,2024-02-27 19:40:27.575519515,0,34,0
11,Ex24,0,22,0,2024-02-27 19:40:28.595862444,0,73,0
12,Ex24,1,1270,2,2024-02-27 19:40:29.608094563,0,36,0
13,Ex24,0,22,0,2024-02-27 19:40:30.620746401,0,22,0
14,Ex24,0,47,0,2024-02-27 19:40:31.630855349,0,67,0
15,Ex24,5,1341,0,2024-02-27 19:40:32.643430817,0,75,0
16,Ex24,0,47,0,2024-02-27 19:40:33.653512465,0,66,0
17,Ex24,0,49,0,2024-02-27 19:40:34.664989876,0,50,0
18,Ex24,0,51,0,2024-02-27 19:40:35.680142889,0,48,0
19,Ex24,0,39,0,2024-02-27 19:40:36.684051962,0,36,0
20,Ex24,0,162,0,2024-02-27 19:40:37.705729992,0,31,0
21,Ex24,0,2007,3,2024-02-27 19:40:38.715405375,0,22,0
22,Ex24,0,23,0,2024-02-27 19:40:39.735305153,0,26,0
23,Ex24,0,24,0,2024-02-27 19:40:40.751309546,0,27,0
24,Ex24,0,49,0,2024-02-27 19:40:41.765244865,0,48,0
25,Ex24,0,43,0,2024-02-27 19:40:42.780122819,0,69,0
26,Ex24,0,44,0,2024-02-27 19:40:43.785110652,0,45,0
27,Ex24,0,47,0,2024-02-27 19:40:44.807955028,0,49,0
28,Ex24,0,50,0,2024-02-27 19:40:45.816385782,0,47,0
29,Ex24,0,25,0,2024-02-27 19:40:46.834715277,0,33,0
