,ID,downlink deq_qdepth,downlink deq_timedelta,downlink enq_qdepth,time,uplink deq_qdepth,uplink deq_timedelta,uplink enq_qdepth
0,Ex33,0,41,0,2024-02-29 18:56:02.691422260,0,63,0
1,Ex33,0,36,0,2024-02-29 18:56:03.046470895,0,294,0
2,Ex33,0,41,0,2024-02-29 18:56:04.094144973,0,50,0
3,Ex33,0,24,0,2024-02-29 18:56:05.162328161,0,410,0
4,Ex33,0,1275,2,2024-02-29 18:56:06.167467498,0,36,0
5,Ex33,2,1164,2,2024-02-29 18:56:07.754134452,0,24,0
6,Ex33,0,1431,2,2024-02-29 18:56:08.993855307,0,59,0
7,Ex33,0,39,0,2024-02-29 18:56:10.150851613,0,39,0
8,Ex33,0,36,0,2024-02-29 18:56:11.156913326,0,39,0
9,Ex33,1,288,0,2024-02-29 18:56:12.167574359,0,55,0
10,Ex33,0,62,0,2024-02-29 18:56:13.175125300,0,43,0
11,Ex33,0,22,0,2024-02-29 18:56:14.186686605,0,21,0
12,Ex33,0,24,0,2024-02-29 18:56:15.232272684,0,33,0
13,Ex33,0,24,0,2024-02-29 18:56:16.244781960,0,25,0
14,Ex33,2,256,0,2024-02-29 18:56:17.271304823,0,33,0
15,Ex33,0,59,0,2024-02-29 18:56:18.277004161,0,20,0
16,Ex33,0,38,0,2024-02-29 18:56:19.294733385,0,53,0
17,Ex33,0,1721,3,2024-02-29 18:56:20.300335814,0,62,0
18,Ex33,0,317,0,2024-02-29 18:56:21.316922072,0,23,0
19,Ex33,2,327,0,2024-02-29 18:56:22.338183145,0,35,0
20,Ex33,0,24,0,2024-02-29 18:56:23.342317951,0,34,0
21,Ex33,0,3238,6,2024-02-29 18:56:24.363271841,0,23,0
22,Ex33,1,1253,2,2024-02-29 18:56:25.366705480,0,76,0
23,Ex33,0,36,0,2024-02-29 18:56:26.383180082,0,337,0
24,Ex33,0,1725,3,2024-02-29 18:56:27.406733444,0,22,0
25,Ex33,10,4466,8,2024-02-29 18:56:28.433966474,0,26,0
26,Ex33,3,1089,2,2024-02-29 18:56:29.441326324,0,44,0
27,Ex33,0,627,1,2024-02-29 18:56:30.478598236,0,21,0
28,Ex33,0,25,0,2024-02-29 18:56:31.478887679,0,23,0
29,Ex33,0,44,0,2024-02-29 18:56:32.478336347,0,43,0
30,Ex33,0,46,0,2024-02-29 18:56:33.488908184,0,128,0
31,Ex33,0,25,0,2024-02-29 18:56:34.500419619,0,408,0
32,Ex33,22,9628,19,2024-02-29 18:56:35.557756504,0,30,0
33,Ex33,5,1080,2,2024-02-29 18:56:36.532264757,0,54,0
34,Ex33,0,419,0,2024-02-29 18:56:37.542340488,0,22,0
35,Ex33,0,22,0,2024-02-29 18:56:38.556118463,0,24,0
36,Ex33,0,34,0,2024-02-29 18:56:39.561779250,0,44,0
37,Ex33,0,58,0,2024-02-29 18:56:40.573097463,0,55,0
38,Ex33,0,48,0,2024-02-29 18:56:41.582126090,0,43,0
39,Ex33,0,74,0,2024-02-29 18:56:42.594249385,0,70,0
40,Ex33,0,54,0,2024-02-29 18:56:43.610202559,0,49,0
41,Ex33,0,57,0,2024-02-29 18:56:44.619338169,0,52,0
42,Ex33,63,19820,39,2024-02-29 18:56:45.669630850,0,25,0
43,Ex33,0,21,0,2024-02-29 18:56:46.646792515,0,35,0
44,Ex33,2,670,1,2024-02-29 18:56:47.663263296,0,34,0
45,Ex33,0,34,0,2024-02-29 18:56:48.684381171,0,20,0
46,Ex33,0,22,0,2024-02-29 18:56:49.709557874,0,34,0
47,Ex33,0,49,0,2024-02-29 18:56:50.717044874,0,49,0
48,Ex33,1,1668,3,2024-02-29 18:56:51.733688762,0,37,0
49,Ex33,0,126,0,2024-02-29 18:56:52.739586258,0,33,0
50,Ex33,0,25,0,2024-02-29 18:56:53.751790525,0,37,0
51,Ex33,0,299,0,2024-02-29 18:56:54.776382151,0,37,0
52,Ex33,0,26,0,2024-02-29 18:56:55.794763257,0,36,0
53,Ex33,0,166,0,2024-02-29 18:56:56.810747556,0,55,0
54,Ex33,0,37,0,2024-02-29 18:56:57.819184428,0,37,0
55,Ex33,0,21,0,2024-02-29 18:56:58.828726785,0,35,0
56,Ex33,0,23,0,2024-02-29 18:56:59.844252359,0,392,0
57,Ex33,0,836,1,2024-02-29 18:57:00.867349057,0,22,0
58,Ex33,0,45,0,2024-02-29 18:57:01.956403067,1,722,1
59,Ex33,0,35,0,2024-02-29 18:57:03.065264205,0,61,0
60,Ex33,0,110,0,2024-02-29 18:57:03.948208974,0,40,0
61,Ex33,8,3297,6,2024-02-29 18:57:04.963075906,0,38,0
62,Ex33,0,22,0,2024-02-29 18:57:05.977394524,0,287,0
63,Ex33,0,22,0,2024-02-29 18:57:06.995590908,0,24,0
64,Ex33,0,26,0,2024-02-29 18:57:08.009705291,0,33,0
65,Ex33,2,2821,5,2024-02-29 18:57:09.019053631,0,36,0
66,Ex33,0,32,0,2024-02-29 18:57:10.092759189,0,49,0
67,Ex33,0,3842,7,2024-02-29 18:57:11.038843106,0,59,0
68,Ex33,1,7815,15,2024-02-29 18:57:12.066648389,0,41,0
69,Ex33,1,2310,4,2024-02-29 18:57:13.066402146,0,21,0
70,Ex33,1,7707,15,2024-02-29 18:57:14.077798950,0,36,0
71,Ex33,8,5820,11,2024-02-29 18:57:15.122889353,0,25,0
72,Ex33,0,28,0,2024-02-29 18:57:16.105088083,0,109,0
73,Ex33,0,568,1,2024-02-29 18:57:17.122731703,0,24,0
74,Ex33,8,8224,16,2024-02-29 18:57:18.145900732,0,27,0
75,Ex33,15,3228,6,2024-02-29 18:57:19.144376832,0,36,0
76,Ex33,16,3474,6,2024-02-29 18:57:20.217185978,0,39,0
77,Ex33,0,1043,2,2024-02-29 18:57:21.175141016,0,24,0
78,Ex33,26,4972,10,2024-02-29 18:57:22.209737748,2,8194,16
79,Ex33,14,5997,11,2024-02-29 18:57:23.217658504,0,401,0
80,Ex33,0,21,0,2024-02-29 18:57:24.254062681,0,35,0
81,Ex33,9,1372,2,2024-02-29 18:57:25.266594061,0,28,0
82,Ex33,1,2117,4,2024-02-29 18:57:26.268263602,0,23,0
83,Ex33,44,19007,37,2024-02-29 18:57:27.291291784,0,67,0
84,Ex33,6,4028,8,2024-02-29 18:57:28.290567423,0,41,0
85,Ex33,1,5691,11,2024-02-29 18:57:29.303451969,0,23,0
86,Ex33,3,2319,4,2024-02-29 18:57:30.309117144,0,52,0
87,Ex33,1,3353,6,2024-02-29 18:57:31.324067757,0,35,0
88,Ex33,1,2621,5,2024-02-29 18:57:32.343381775,0,64,0
89,Ex33,24,8370,16,2024-02-29 18:57:33.358556316,0,34,0
90,Ex33,0,22,0,2024-02-29 18:57:34.375474301,0,37,0
91,Ex33,5,1643,3,2024-02-29 18:57:35.451334004,0,329,0
92,Ex33,1,1685,3,2024-02-29 18:57:36.415530775,0,34,0
93,Ex33,0,1420,2,2024-02-29 18:57:37.443120518,0,68,0
94,Ex33,0,3388,6,2024-02-29 18:57:38.444579470,0,34,0
95,Ex33,0,22,0,2024-02-29 18:57:39.462376768,0,296,0
96,Ex33,2,1531,3,2024-02-29 18:57:40.487588232,0,35,0
97,Ex33,0,20,0,2024-02-29 18:57:41.501332970,0,33,0
98,Ex33,0,26,0,2024-02-29 18:57:42.512081143,0,347,0
99,Ex33,0,1263,2,2024-02-29 18:57:43.535783152,0,22,0
100,Ex33,5,6444,12,2024-02-29 18:57:44.545150033,0,25,0
101,Ex33,6,6143,12,2024-02-29 18:57:45.573092848,0,26,0
102,Ex33,4,3668,7,2024-02-29 18:57:46.564727176,0,25,0
103,Ex33,14,6956,13,2024-02-29 18:57:47.580012227,0,22,0
104,Ex33,0,3239,6,2024-02-29 18:57:48.605468401,0,21,0
105,Ex33,15,4937,9,2024-02-29 18:57:49.635101923,0,22,0
106,Ex33,27,16564,33,2024-02-29 18:57:50.690285549,0,37,0
107,Ex33,3,4912,9,2024-02-29 18:57:51.654547106,0,25,0
108,Ex33,7,2716,5,2024-02-29 18:57:52.660499487,0,34,0
109,Ex33,2,5130,10,2024-02-29 18:57:53.670017205,0,31,0
110,Ex33,7,1136,2,2024-02-29 18:57:54.682889291,0,22,0
111,Ex33,11,2191,4,2024-02-29 18:57:55.701685096,0,37,0
112,Ex33,0,3242,6,2024-02-29 18:57:56.714457950,0,36,0
113,Ex33,1,1612,3,2024-02-29 18:57:57.716269304,0,26,0
114,Ex33,0,657,1,2024-02-29 18:57:58.727192114,0,34,0
115,Ex33,2,5094,10,2024-02-29 18:57:59.744602083,0,22,0
116,Ex33,0,5739,11,2024-02-29 18:58:00.768741551,0,38,0
117,Ex33,0,816,1,2024-02-29 18:58:01.778107742,0,33,0
118,Ex33,1,7439,14,2024-02-29 18:58:02.801617135,0,38,0
119,Ex33,0,143,0,2024-02-29 18:58:03.802644432,0,23,0
120,Ex33,13,3368,6,2024-02-29 18:58:04.818742814,0,37,0
121,Ex33,0,22,0,2024-02-29 18:58:05.842235571,0,33,0
122,Ex33,15,13708,27,2024-02-29 18:58:06.873448896,0,399,0
123,Ex33,12,4636,9,2024-02-29 18:58:07.900202271,0,328,0
124,Ex33,1,2949,5,2024-02-29 18:58:08.912512874,0,27,0
125,Ex33,4,7728,15,2024-02-29 18:58:09.942987028,0,36,0
126,Ex33,8,5338,10,2024-02-29 18:58:10.981902197,0,22,0
127,Ex33,0,26,0,2024-02-29 18:58:11.982507698,0,34,0
128,Ex33,1,3949,7,2024-02-29 18:58:13.007126697,0,59,0
129,Ex33,0,24,0,2024-02-29 18:58:14.028084289,0,22,0
130,Ex33,1,5285,10,2024-02-29 18:58:15.045294797,0,26,0
131,Ex33,24,8639,17,2024-02-29 18:58:16.073119307,0,26,0
132,Ex33,8,1181,2,2024-02-29 18:58:17.081481689,0,24,0
133,Ex33,6,3714,7,2024-02-29 18:58:18.105263491,0,24,0
134,Ex33,27,12413,24,2024-02-29 18:58:19.146470273,2,16827,33
135,Ex33,0,23,0,2024-02-29 18:58:20.167448747,0,21,0
136,Ex33,0,24,0,2024-02-29 18:58:21.143637567,0,22,0
137,Ex33,13,2650,5,2024-02-29 18:58:22.682892334,38,9925,19
138,Ex33,1,2108,4,2024-02-29 18:58:23.678176611,0,22,0
139,Ex33,6,1577,3,2024-02-29 18:58:24.706969961,0,67,0
140,Ex33,0,34,0,2024-02-29 18:58:25.714319841,0,59,0
141,Ex33,1,2257,4,2024-02-29 18:58:26.720125206,0,87,0
142,Ex33,5,5058,10,2024-02-29 18:58:27.736103127,0,37,0
143,Ex33,2,3604,7,2024-02-29 18:58:28.756110922,0,35,0
144,Ex33,12,6655,13,2024-02-29 18:58:29.772837252,0,23,0
145,Ex33,1,2266,4,2024-02-29 18:58:30.788549934,0,34,0
146,Ex33,0,36,0,2024-02-29 18:58:31.806850000,0,40,0
147,Ex33,3,6662,13,2024-02-29 18:58:32.815208718,0,23,0
148,Ex33,57,29928,59,2024-02-29 18:58:33.847274045,1,673,1
149,Ex33,0,24,0,2024-02-29 18:58:34.840383825,0,25,0
150,Ex33,9,5403,10,2024-02-29 18:58:35.874197210,0,326,0
151,Ex33,0,5758,11,2024-02-29 18:58:36.883634902,0,22,0
152,Ex33,0,1210,2,2024-02-29 18:58:37.878867843,1,270,0
153,Ex33,2,5239,10,2024-02-29 18:58:38.913006641,0,34,0
154,Ex33,1,4375,8,2024-02-29 18:58:39.914804406,0,34,0
155,Ex33,12,6229,12,2024-02-29 18:58:40.946457533,0,26,0
156,Ex33,3,6771,13,2024-02-29 18:58:41.939590837,0,36,0
157,Ex33,0,22,0,2024-02-29 18:58:42.954619361,0,38,0
158,Ex33,0,76,0,2024-02-29 18:58:43.977820635,0,21,0
159,Ex33,0,1384,2,2024-02-29 18:58:44.977147816,0,36,0
160,Ex33,0,23,0,2024-02-29 18:58:45.981527288,0,38,0
161,Ex33,13,7541,15,2024-02-29 18:58:47.008979466,0,407,0
162,Ex33,6,6922,13,2024-02-29 18:58:48.041300569,0,216,0
163,Ex33,10,2372,4,2024-02-29 18:58:49.042633911,0,675,1
164,Ex33,0,24,0,2024-02-29 18:58:50.128334365,0,23,0
165,Ex33,1,5692,11,2024-02-29 18:58:51.107034573,0,26,0
166,Ex33,0,749,1,2024-02-29 18:58:52.279287586,0,23,0
167,Ex33,0,33,0,2024-02-29 18:58:53.133366317,0,82,0
168,Ex33,3,3784,7,2024-02-29 18:58:54.131753164,0,38,0
169,Ex33,1,1303,2,2024-02-29 18:58:55.146847891,0,23,0
170,Ex33,1,3262,6,2024-02-29 18:58:56.173152975,0,23,0
171,Ex33,1,2277,4,2024-02-29 18:58:57.181205635,0,34,0
172,Ex33,0,180,0,2024-02-29 18:58:58.204986735,0,218,0
173,Ex33,1,4248,8,2024-02-29 18:58:59.215445411,0,34,0
174,Ex33,60,31626,63,2024-02-29 18:59:00.292979147,0,38,0
175,Ex33,1,3401,6,2024-02-29 18:59:01.262715777,0,37,0
176,Ex33,0,21,0,2024-02-29 18:59:02.248231432,0,34,0
177,Ex33,2,639,1,2024-02-29 18:59:03.278288619,0,178,0
178,Ex33,12,2560,5,2024-02-29 18:59:04.279760682,0,23,0
179,Ex33,0,4719,9,2024-02-29 18:59:05.304157142,0,36,0
180,Ex33,8,3929,7,2024-02-29 18:59:06.307136366,0,39,0
181,Ex33,5,7279,14,2024-02-29 18:59:07.346836166,0,33,0
182,Ex33,11,6426,12,2024-02-29 18:59:08.347811312,0,544,1
183,Ex33,18,13764,27,2024-02-29 18:59:09.372804189,0,28,0
184,Ex33,0,3214,6,2024-02-29 18:59:10.382182325,0,35,0
